         E0,keV         dE,det1         dE,det2         dE,det3         dE,det4              CF 
        364.689         14.6732         347.082               0               0                1
        94.4161               0         11.4379               0               0                1
        190.556         25.8376         152.189               0               0                1
        373.307         27.5493         92.7132               0               0                1
         226.43         57.0055         138.744               0               0                1
        440.356               0         428.572               0               0                1
        826.218         9.68956         477.216         19.2516               0                1
        562.663         14.1276         218.157         309.023               0                1
        332.968         10.3435         10.2706         15.5006               0                1
        135.072               0          27.094               0               0                1
        269.322               0         260.841               0               0                1
        205.957         37.7821         30.9876               0               0                1
        294.027               0         56.2369         87.3542               0                1
        269.576         15.6243         247.865               0               0                1
        319.557         13.5796         274.025               0               0                1
        499.678               0         488.363               0               0                1
        292.543               0         272.357               0               0                1
        212.031         34.9746         156.739               0               0                1
        77.0789               0         30.4382               0               0                1
        259.561         19.4407         237.919               0               0                1
        677.431               0         260.438               0               0                1
        323.783         13.3831         305.344               0               0                1
        110.335               0         74.7498               0               0                1
        431.474         8.48802         418.921               0               0                1
         158.99         37.9033         115.845               0               0                1
        305.643         17.8427         283.647               0               0                1
        360.546         12.6566         334.799               0               0                1
        323.297         16.5401          302.24               0               0                1
        159.948               0         120.285               0               0                1
        172.293               0         109.843               0               0                1
        173.201               0          151.26               0               0                1
        340.301         11.7879         29.7756               0               0                1
         358.26         29.9533         208.983               0               0                1
        273.456         25.4715         242.595               0               0                1
        214.784         21.7747         188.918               0               0                1
        165.358               0         73.2461               0               0                1
        142.806               0          124.06               0               0                1
        205.955         23.2415         177.714               0               0                1
         395.21               0         385.219               0               0                1
        274.035         49.0592          222.36               0               0                1
        208.036         65.4437         94.7632               0               0                1
        165.946               0          127.58               0               0                1
        384.913         18.6236         360.739               0               0                1
        418.608               0         409.911               0               0                1
        326.368         15.2182         161.857               0               0                1
        197.821         26.9395         6.45723               0               0                1
        302.986               0         21.3192               0               0                1
        390.431         15.6149         366.226               0               0                1
        216.193         21.1428         163.487               0               0                1
        981.024         11.4174         189.091               0               0                1
        127.548         55.6515         11.8999               0               0                1
        383.417               0         148.867         30.3944               0                1
        165.952         38.3678         124.103               0               0                1
        222.052         18.9459         200.681               0               0                1
        243.389         17.6468         221.177               0               0                1
        220.995         24.7797         193.196               0               0                1
        204.719          20.875         176.703               0               0                1
        138.701         27.3385         99.2858               0               0                1
        251.754         13.6123         96.0083               0               0                1
        496.394          18.515          444.73               0               0                1
        341.812               0         301.012               0               0                1
        99.5446         45.6938         5.26438               0               0                1
        226.332         19.3954         162.888               0               0                1
        250.826         27.7996         221.255               0               0                1
        201.698         15.6562         182.537               0               0                1
         460.78               0         451.108               0               0                1
        223.231         56.7447        0.883808               0               0                1
        154.749         26.0631         123.784               0               0                1
        304.967         15.4615         283.382               0               0                1
        234.334               0         220.279               0               0                1
        415.473               0         403.675               0               0                1
        101.113               0         74.3936               0               0                1
        224.234         16.8979         73.6693               0               0                1
         261.65               0         251.457               0               0                1
        99.5004               0         73.7551               0               0                1
        249.273         122.804         77.2514               0               0                1
        105.402               0         16.9138               0               0                1
        186.673               0         58.1872               0               0                1
        105.144               0         82.2016               0               0                1
        140.543         48.8841         80.1867               0               0                1
        199.735          16.186          179.89               0               0                1
        569.722         8.56581         255.255         303.461               0                1
         238.32               0          215.94               0               0                1
        286.166         20.5474         259.164               0               0                1
        229.749         40.1297          24.516               0               0                1
        346.101         13.9149         299.546               0               0                1
        271.142               0         20.4347               0               0                1
        300.359         16.3813         272.871               0               0                1
        358.836         13.3257         340.922               0               0                1
        445.579         15.0548         112.165               0               0                1
        117.753         35.1079         72.1609               0               0                1
        542.302         7.77432         531.634               0               0                1
        269.591         12.3217         254.216               0               0                1
          271.5               0         259.603               0               0                1
        120.167               0         68.2442               0               0                1
        733.828         14.5858          483.82         13.0164               0                1
        209.126         18.9684         185.008               0               0                1
        300.204               0         145.216               0               0                1
        128.721         17.8669         104.802               0               0                1
        182.608         59.3792          118.07               0               0                1
        392.166         16.2501         374.417               0               0                1
        350.712         11.3636         335.353               0               0                1
        272.213         20.3533         246.353               0               0                1
        611.977         15.6794         304.441         17.4202               0                1
        115.645         29.5566         78.1604               0               0                1
        216.624         18.9399         193.351               0               0                1
        211.081          22.516         171.835               0               0                1
        196.942               0         179.691               0               0                1
         224.72         19.8617         200.459               0               0                1
        437.738         14.9136         104.466               0               0                1
        417.662               0         404.169               0               0                1
        212.646         93.7935         114.547               0               0                1
         274.98         11.9063         255.036               0               0                1
        330.142         15.3269         312.255               0               0                1
        103.683         40.3072         55.5518               0               0                1
        165.018          41.019         101.473               0               0                1
        670.016               0         209.444         451.525               0                1
        219.511         17.0021         199.515               0               0                1
        262.665               0         205.411               0               0                1
        205.526         15.4057         185.284               0               0                1
        228.994               0         103.481               0               0                1
        161.384         40.2954           112.3               0               0                1
        147.483         79.5724         58.4346               0               0                1
        153.235               0         139.515               0               0                1
        190.867         17.2808         170.555               0               0                1
        318.651         12.3305         303.598               0               0                1
        97.7959               0         44.6479               0               0                1
        123.826               0         90.7785               0               0                1
        169.923               0         140.583               0               0                1
         229.14         66.7821         149.861               0               0                1
        112.598          86.875         2.91788               0               0                1
        113.111         68.7396         38.8211               0               0                1
        571.243         9.19172         190.461               0               0                1
        216.956         32.8129         179.503               0               0                1
        171.004          41.612         17.4627               0               0                1
        374.528         11.9797         182.607               0               0                1
        275.547         19.8105         252.168               0               0                1
        230.489         31.9848          192.86               0               0                1
        299.432               0         196.376               0               0                1
        302.244         20.2464         278.546               0               0                1
        171.493         64.9618         97.6704               0               0                1
        146.672         42.8497         58.1946               0               0                1
        269.928          20.234         246.074               0               0                1
        530.232         33.1172         495.896               0               0                1
        160.575         39.2165         40.1227               0               0                1
        81.3556               0          36.798               0               0                1
        126.052               0         103.578               0               0                1
         240.11         19.7424         204.504               0               0                1
          187.8         33.8042          52.923               0               0                1
        433.004         14.5246         414.285               0               0                1
        512.589               0         31.7453          38.708               0                1
        776.949               0         201.344               0               0                1
        466.897         10.3185           452.9               0               0                1
        267.649               0          253.35               0               0                1
         136.96         30.3616         94.3735               0               0                1
        119.054          72.438         40.0943               0               0                1
        163.905         23.7624         122.855               0               0                1
        584.961               0         10.3297               0               0                1
        218.007         48.2656         156.325               0               0                1
        191.836               0         168.307               0               0                1
        373.591               0         265.923               0               0                1
        127.034         30.9397         91.8672               0               0                1
        299.923         20.5324         276.495               0               0                1
        203.403               0         186.708               0               0                1
        201.923               0         187.666               0               0                1
        305.854         108.458         109.938               0               0                1
         376.62         22.8059         92.5684               0               0                1
        458.435         23.1563         431.057               0               0                1
        274.487         27.3285          243.37               0               0                1
        265.979               0         251.681               0               0                1
        445.428         12.6342         429.698               0               0                1
        134.213               0         111.875               0               0                1
        119.345         27.5839         86.9929               0               0                1
        115.253               0         85.6162               0               0                1
        198.646         17.9283          172.93               0               0                1
        210.118         17.2069         167.362               0               0                1
        258.132         14.0296         242.162               0               0                1
        89.9495               0         46.3468               0               0                1
        165.031               0         148.044               0               0                1
        256.692         48.4147         200.264               0               0                1
        143.601         25.1884         115.479               0               0                1
        336.005          21.854         290.913               0               0                1
        166.654         29.9927         131.902               0               0                1
        117.649               0         77.5692               0               0                1
        259.511         85.7664         46.2145               0               0                1
         434.37         38.5239         285.053               0               0                1
        266.913          19.068         218.146               0               0                1
         282.88          15.676         263.381               0               0                1
        262.521               0         200.659               0               0                1
        236.377         38.5012         193.767               0               0                1
        146.498         48.7042         88.6564               0               0                1
        359.124         15.6697         282.934               0               0                1
        321.557               0         307.336               0               0                1
        517.484         31.4177         483.959               0               0                1
        147.703               0         10.4654               0               0                1
        288.794         16.1443         198.167               0               0                1
        117.439         31.7872          80.622               0               0                1
        121.237         69.2926         43.8733               0               0                1
        164.789         25.9029         20.5015               0               0                1
        419.239         10.8682         405.551               0               0                1
