         E0,keV         dE,det1         dE,det2         dE,det3         dE,det4              CF 
        240.552         35.9341         199.947               0               0                1
        199.253         46.8065         130.467               0               0                1
        185.919         39.3906         144.369               0               0                1
        301.558         15.1811         283.536               0               0                1
        319.636         12.1486          209.78               0               0                1
        402.914               0         377.241               0               0                1
        185.968               0         170.186               0               0                1
        317.964               0         140.953               0               0                1
        310.943               0         276.398               0               0                1
        205.733               0         182.646               0               0                1
        153.489          25.753         111.722               0               0                1
        376.734         14.2892         360.531               0               0                1
        225.385         41.1899         179.321               0               0                1
        183.017         23.0765         139.541               0               0                1
        131.937               0         108.571               0               0                1
        133.729               0          54.568               0               0                1
        208.479         26.0282         178.426               0               0                1
        374.884         23.9871         349.262               0               0                1
        157.382         49.6541         84.6037               0               0                1
        223.384         15.1281         202.248               0               0                1
         141.43         42.4612         82.3597               0               0                1
        172.043          55.785         112.863               0               0                1
        458.859               0         359.236               0               0                1
        314.646         16.0453         294.537               0               0                1
        248.035          12.607         232.197               0               0                1
        361.427               0          344.23               0               0                1
        351.197         78.8096         268.226               0               0                1
        104.257               0         79.7001               0               0                1
         175.68         26.8955         137.392               0               0                1
        118.581               0         85.0668               0               0                1
        116.071          36.604         71.5865               0               0                1
        94.6705               0         11.8878               0               0                1
        375.872          8.8323         364.356               0               0                1
        156.679               0         138.686               0               0                1
        151.586          53.847         94.3227               0               0                1
        143.913         36.5855         97.5688               0               0                1
        618.596               0         505.225               0               0                1
        285.908          18.105         262.154               0               0                1
        135.512         71.1611         45.0321               0               0                1
        420.822         26.1744         47.4758               0               0                1
         119.48         37.9614         65.2282               0               0                1
        296.476         15.8163         276.264               0               0                1
          442.8         14.4387         425.793               0               0                1
        362.409         30.3328         327.759               0               0                1
        118.762               0         80.1587               0               0                1
         349.85               0          318.91               0               0                1
        160.596         32.1682         125.567               0               0                1
        85.9763               0         52.6704               0               0                1
        141.445         23.6325         112.472               0               0                1
        233.528         18.1944         211.329               0               0                1
        428.846         24.6847         401.699               0               0                1
        193.205         20.2629         169.993               0               0                1
         145.21               0         102.458               0               0                1
        98.9134         40.4171         29.3182               0               0                1
        2043.72         9.62427         159.227         1872.77               0                1
        528.725         28.5784         183.869               0               0                1
        137.986         70.9945         5.81518               0               0                1
        275.574         20.3627          244.75               0               0                1
        347.856         15.4617         168.477               0               0                1
        624.636               0         17.8382               0               0                0
        228.267               0          161.81               0               0                1
        207.795         26.6724           175.7               0               0                1
         490.38         10.3154         477.215               0               0                1
        90.2967               0         57.5703               0               0                1
        296.829         15.0915          278.02               0               0                1
         440.25               0         432.293               0               0                1
         204.32         19.3024         183.009               0               0                1
        141.358               0         54.7753               0               0                1
        342.929         12.4018         327.198               0               0                1
        533.597               0         75.0469         339.334               0                1
        346.577         17.0597         319.876               0               0                1
        248.005         34.3863         198.461               0               0                1
        224.571         23.5105         196.935               0               0                1
        393.449         41.5861          348.73               0               0                1
        261.345         17.9599         235.909               0               0                1
        670.951               0         6.74408               0               0                1
        260.806         9.86514         249.655               0               0                1
         115.53         95.2383         8.82285               0               0                1
        224.436          25.434         190.777               0               0                1
        192.447         57.5632         67.0142               0               0                1
        120.336               0         91.4247               0               0                1
        299.072         13.2629          283.38               0               0                1
        254.179         20.3919         139.784               0               0                1
        155.221         25.9726         124.083               0               0                1
         239.73          39.928         197.163               0               0                1
        309.283         20.1759          285.15               0               0                1
        214.651         33.2481         145.721               0               0                1
        316.411               0         306.733               0               0                1
        299.682         16.5069         281.157               0               0                1
        333.018         10.7858         319.529               0               0                1
        235.444         21.5734         205.323               0               0                1
        217.256         16.9587         195.798               0               0                1
        340.299         15.8655          321.77               0               0                1
        169.065         19.8743         142.427               0               0                1
        328.431         17.7937         307.936               0               0                1
        179.999         28.5424          145.31               0               0                1
        151.358               0         132.755               0               0                1
        477.931         8.00484         465.803               0               0                1
        275.082         19.0586        0.347734               0               0                1
        114.666               0         63.6634               0               0                1
        157.786         25.9936         126.912               0               0                1
        120.957         24.1358         90.0515               0               0                1
        133.904         28.9159         95.3931               0               0                1
        310.785         21.0369         268.681               0               0                1
        411.258               0         253.394               0               0                1
        326.148               0         296.489               0               0                1
        80.1878               0         28.1515               0               0                1
        663.959         15.8224         567.968         76.2807               0                1
        313.122         35.1623         31.6767               0               0                1
        350.187           14.77         331.515               0               0                1
        1058.52         13.3486         303.907               0               0                1
        125.838               0           103.6               0               0                1
        285.903         14.7567         269.219               0               0                1
        148.553               0         52.2869               0               0                1
        160.118               0         137.721               0               0                1
        241.827         18.0318         177.262               0               0                1
        240.891         61.6979         155.808               0               0                1
        94.0242               0         56.7225               0               0                1
        501.117         13.5475         483.978               0               0                1
        238.518         16.1382          220.63               0               0                1
        313.636         13.3684         297.403               0               0                1
        429.472         10.8906         10.7241         239.171               0                1
        201.188         17.3878         57.8949               0               0                1
         265.72               0         249.129               0               0                1
        229.078         22.0274         202.986               0               0                1
        182.133               0         164.538               0               0                1
        241.948         66.2355         98.9736               0               0                1
        361.586         43.7811         209.867               0               0                1
        257.908               0          241.67               0               0                1
        252.873         25.2303         199.643               0               0                1
        226.622         13.0816         209.249               0               0                1
        120.028          36.472         76.3156               0               0                1
        273.394         5.28277         257.287               0               0                1
        373.208         17.5228         351.703               0               0                1
        171.849         33.2636         84.3763               0               0                1
        482.191         18.0225          163.34               0               0                1
        331.147         9.61765         317.804               0               0                1
        521.656         14.2365         504.696               0               0                1
        253.847         39.9969         82.2318               0               0                1
         191.23         13.6592         171.182               0               0                1
        308.589               0         213.128               0               0                1
        317.192         29.3281         279.511               0               0                1
        345.049         14.2362         328.513               0               0                1
        384.086         9.31312         373.258               0               0                1
        1309.65               0         216.008               0               0                1
        265.771         24.0664          238.48               0               0                1
        241.739         50.4298         186.632               0               0                1
        196.192         20.9076         83.2254               0               0                1
        399.809         18.2662         367.335               0               0                1
        153.129         31.9019         114.708               0               0                1
        187.575         69.7073         113.465               0               0                1
        354.419         32.4732         315.438               0               0                1
        361.443         48.0086         77.9214               0               0                1
        195.233               0         177.446               0               0                1
        300.983               0         288.604               0               0                1
