         E0,keV         dE,det1         dE,det2         dE,det3         dE,det4              CF 
        175.346         50.4097         121.233               0               0                1
         195.89               0         142.096               0               0                1
        704.514         15.5955         687.225               0               0                1
        253.823          35.674         119.895               0               0                1
        183.754         18.4993         156.748               0               0                1
        199.916               0         188.492               0               0                1
        329.564         14.9031         312.865               0               0                1
        151.649         28.6393         21.8998               0               0                1
        718.436               0         99.2436         5.38171               0                1
        153.056               0         28.3322               0               0                1
        551.216         8.83987          540.59               0               0                1
        103.799         54.2489         33.0706               0               0                1
        180.834               0          164.14               0               0                1
        233.134               0         217.958               0               0                1
        285.679               0         211.343         5.89201               0                1
          157.9         32.6875         113.975               0               0                1
        191.213         24.8671         162.227               0               0                1
        114.807               0         27.7707               0               0                1
        122.326               0         68.4701               0               0                1
        156.963         28.3255         119.517               0               0                1
        123.221               0         92.1835               0               0                1
        246.185               0         226.896               0               0                1
        139.504         70.6902         64.4633               0               0                1
        193.558               0         177.919               0               0                1
        164.568         24.3109         135.994               0               0                1
        229.515         17.8685         202.518               0               0                1
        200.971         18.5103          174.32               0               0                1
        258.396               0         76.2767               0               0                1
        352.366         16.7106         330.905               0               0                1
        142.225         30.9156         102.544               0               0                1
        245.015               0          139.02               0               0                1
        226.932               0         198.647               0               0                1
        368.542         12.0975         75.9106               0               0                1
        187.938               0         119.618               0               0                1
        728.848         9.58927         156.405         75.6282               0                1
        165.329               0         19.7012               0               0                1
        247.755               0         235.232               0               0                1
        477.881         10.8898         408.495               0               0                1
        161.637         37.1675         120.943               0               0                1
        213.789               0         133.405               0               0                1
        125.222         30.9051         16.1688               0               0                1
        91.6989               0         64.6429               0               0                1
        273.514         16.0157         254.007               0               0                1
        337.903               0         321.718               0               0                1
        262.667         30.4156         184.469               0               0                1
         146.83         39.4021          52.502               0               0                1
        213.398         17.5799          190.69               0               0                1
        347.039               0         332.404               0               0                1
        1420.61         12.8061         195.045         1210.98               0                1
        330.422         12.7653         315.539               0               0                1
        145.464         34.6661         92.7467               0               0                1
        434.839         36.9808         96.7643               0               0                1
        304.273               0         290.211               0               0                1
         167.72         129.473         34.2924               0               0                1
        251.414               0         217.226               0               0                1
        264.766         20.3896           240.4               0               0                1
        274.014         12.6663         259.086               0               0                1
        173.769         43.9741         125.396               0               0                1
        261.356         27.8788         155.997               0               0                1
        286.141         20.2609         30.3052               0               0                1
        398.195         21.8185         283.106               0               0                1
        424.171         17.8295         400.395               0               0                1
        309.081         18.0328         210.723               0               0                1
        136.371               0         111.801               0               0                1
        349.939         15.7449         332.113               0               0                1
        123.279         25.5938         93.0333               0               0                1
        106.173               0         78.7124               0               0                1
        281.951         12.2922         266.131               0               0                1
        144.936         33.1313         108.536               0               0                1
        203.033               0         171.939               0               0                1
        366.269         99.4489         263.724               0               0                1
