         E0,keV         dE,det1         dE,det2         dE,det3         dE,det4              CF 
        3354.59               0         2583.76               0               0                1
        9386.47         367.197         6559.32         2331.76               0                1
        5843.76         574.049         5141.56               0               0                1
        2023.38               0         616.515               0               0                1
        6079.54               0         5535.78               0               0                1
        6036.74         497.953         5431.61               0               0                1
         4326.1         735.677         3453.57               0               0                1
        5322.16         638.732         4562.74               0               0                1
          10591         292.152         5972.97         4243.11               0                1
        3113.96               0         2282.77               0               0                1
        4860.51         636.227         4091.33               0               0                1
        13442.7         236.859         4241.71         8902.98               0                1
        2098.09               0         850.737               0               0                1
        2544.02               0         1543.18               0               0                1
        47631.3         129.057         1140.05         46344.6               0                1
        3378.36               0         2610.04               0               0                1
        6051.93               0         5514.89               0               0                1
        6793.89         483.361         413.577               0               0                1
        2586.03               0         1566.79               0               0                1
        2833.61               0         1855.23               0               0                1
        8693.58         390.864         8219.77               0               0                1
        3715.07         855.562         2687.72               0               0                1
         7303.5         488.125         233.174               0               0                1
        4359.14         692.351          3510.4               0               0                1
        3259.25         859.346         2185.93               0               0                1
         5547.2         590.246         4800.91               0               0                1
        2482.15         1361.97         844.724               0               0                1
         6554.7         507.805          5937.3               0               0                1
        3232.19         940.576         2080.23               0               0                1
        3349.62               0         2632.87               0               0                1
        2743.06               0         1778.18               0               0                1
        5621.47         556.176         4939.83               0               0                1
         2604.7         1346.67         991.734               0               0                1
        2284.41         1661.13         315.653               0               0                1
         3918.1               0         3288.61               0               0                1
        2909.24         1069.26         1584.99               0               0                1
        2567.83         1129.32         1227.08               0               0                1
        2312.42         1449.11          608.46               0               0                1
        2171.46         1669.02         228.472               0               0                1
        16082.3         283.899         3231.42         12466.4               0                1
        2730.65          1065.6         1449.78               0               0                1
        14648.8         296.119         4213.76           10041               0                1
        4974.49               0         4388.99               0               0                1
        9792.94               0         5830.33         3660.57               0                1
        8181.63           453.3         7639.42               0               0                1
         137979               0          1118.1         21975.1               0                0
        3605.77         937.011         2478.52               0               0                1
        8456.51         430.273         7914.49               0               0                1
        3317.55               0         2586.87               0               0                1
         127818               0         1636.77               0               0                0
         281169          35.572         286.082          8979.9         545.743                1
        8168.47               0         7817.22               0               0                1
        3794.17               0         3095.41               0               0                1
        4783.47               0            4206               0               0                1
        17805.6         286.024         2819.88         14626.2               0                1
        2847.61         1084.83         1555.87               0               0                1
         9746.6         305.327         5626.78         3719.05               0                1
        11889.2         344.573         4835.46         6634.36               0                1
        3056.96         915.538         1938.31               0               0                1
        4216.87         745.769         3275.59               0               0                1
        5821.34         573.421         5123.18               0               0                1
        9551.85               0         5644.16         3611.46               0                1
        9195.53               0         6734.72         2132.13               0                1
        2536.44               0         1498.98               0               0                1
        6886.99         437.788         6341.09               0               0                1
        8792.81         488.626         4512.17               0               0                1
         9988.6         367.459         6099.99         3433.13               0                1
        9383.25               0         5938.97         3117.96               0                1
        3991.24         808.805         3005.24               0               0                1
        3165.42               0         2288.34               0               0                1
        4447.98               0         3797.96               0               0                1
        3424.59         904.196         2319.63               0               0                1
        5920.44          494.59         5328.81               0               0                1
        25483.9         142.252         2211.54         23091.5               0                1
        2419.28         1293.87         878.261               0               0                1
        9137.53         424.214         8197.55         429.409               0                1
        9406.98         394.419         8912.23               0               0                1
        6748.23         469.031         6174.73               0               0                1
        5727.65         515.992         5087.59               0               0                1
        3516.66          866.56         2457.09               0               0                1
         120989               0         131.637               0               0                0
        10736.2         351.765         5600.32          4660.7               0                1
        7162.38         463.428         6563.07               0               0                1
        3056.45         878.161         1979.29               0               0                1
        2369.61         1306.16         827.106               0               0                1
         219817               0         556.587         9256.36               0                0
        26132.3         149.451         1890.54         24051.1               0                1
        4469.52         686.278          3630.2               0               0                1
        4498.13         697.907          3621.4               0               0                1
        7125.88               0         6740.19               0               0                1
        21554.8         220.164         2486.08         18797.5               0                1
        5643.25         477.289         5025.46               0               0                1
        2346.14         1580.43         489.678               0               0                1
        2518.92          1350.1         905.415               0               0                1
        3926.47         795.896         2965.49               0               0                1
        10902.8         384.074         5905.86         4535.54               0                1
        3578.86               0         2808.14               0               0                1
        3695.78         791.052         2749.08               0               0                1
        25861.1               0         2243.81           23421               0                1
        9761.13         340.135          6734.6          2594.7               0                1
        12799.7         257.642         4152.76          8323.4               0                1
        4040.99         723.726         3137.63               0               0                1
        9195.08         409.256            6832         1870.18               0                1
        10926.4         319.726         5001.55         5510.51               0                1
        5262.53         572.811         4544.89               0               0                1
        4851.76         615.101         4090.99               0               0                1
        26957.5         213.218         2015.24         24701.1               0                1
        13344.4          301.72         3786.06         9199.67               0                1
        3252.41         955.658         2102.76               0               0                1
        8304.07         394.107         7809.82               0               0                1
        5110.46         585.342         4381.94               0               0                1
        2785.56         1093.03         1504.21               0               0                1
        11244.6         347.671         4702.63         6130.48               0                1
        9100.81         345.571         7151.76         1526.38               0                1
        27444.2               0         1797.94         25470.6               0                1
        2364.31            1247         879.375               0               0                1
        4196.59         715.601         3340.93               0               0                1
        6218.54         563.853         5531.47               0               0                1
        3538.76         807.732         2546.46               0               0                1
        4740.16         658.492         3911.52               0               0                1
        3766.37         872.169         2677.91               0               0                1
        13059.4         268.874         4428.68         8278.66               0                1
         7234.9         435.738         6696.41               0               0                1
        3387.68         1001.97          2177.7               0               0                1
        3129.54         913.459         2003.77               0               0                1
        4715.99         577.896         3993.14               0               0                1
        3247.56         916.679         2149.17               0               0                1
        2974.52         963.946         1811.85               0               0                1
        8731.98         369.271         7141.63          1146.3               0                1
        9345.48         353.466         6773.14         2114.25               0                1
        5976.45         514.575         391.921               0               0                1
         4898.4               0         4310.97               0               0                1
         5708.4         613.308         240.445               0               0                1
        4195.55         756.208         3257.06               0               0                1
        19673.5         189.165         2797.86         16646.3               0                1
         116555               0         3734.56               0               0                0
        3457.23         815.778         2458.55               0               0                1
        8751.06         389.471         8255.32               0               0                1
        2989.81               0         2057.22               0               0                1
        3430.37               0         2706.85               0               0                1
        5982.15         566.283         5280.91               0               0                1
        4127.94               0         3484.26               0               0                1
        10384.3         336.572            5324         4635.26               0                1
        4570.87         684.318         3725.99               0               0                1
        3150.66         1019.62         1916.36               0               0                1
        3407.29         917.491         2289.63               0               0                1
        4088.25               0         2158.16               0               0                1
        7239.43         449.478         6671.47               0               0                1
        2274.62         1407.98         608.168               0               0                1
        6222.18          494.28         5591.98               0               0                1
        4438.91         650.801         3641.46               0               0                1
        4316.25         716.183         3435.04               0               0                1
        2492.25         1117.73         943.311               0               0                1
        2291.38          1584.6         433.159               0               0                1
        13436.8               0         3700.71         9487.79               0                1
        14783.8         251.036         3389.54         11088.2               0                1
        3328.01         970.464         2165.98               0               0                1
        6312.54         536.865         5635.58               0               0                1
        2071.41         1415.41         403.071               0               0                1
        2709.56         1109.18          1387.6               0               0                1
        2473.12               0         1440.92               0               0                1
        2357.87               0         1304.06               0               0                1
        5723.39         552.677         5004.77               0               0                1
        6560.69               0         6143.05               0               0                1
          11651         306.456         4458.21         6797.95               0                1
        9328.45         347.872         6460.13         2435.39               0                1
        5287.08               0         4781.34               0               0                1
        3819.81               0         3142.94               0               0                1
        16443.4         241.613         3161.13         12981.4               0                1
        3460.98         858.009         2412.85               0               0                1
        2372.37         1429.68         688.249               0               0                1
        13016.1         247.845          3852.6         8858.46               0                1
        3041.27         938.912         1919.03               0               0                1
         164236               0         1044.75         12956.1               0                0
        7330.51         482.301         6728.13               0               0                1
        6629.19         564.737         5937.47               0               0                1
        4542.68               0         3954.28               0               0                1
        12209.1         294.529         4308.81         7508.23               0                1
        16301.7               0         3142.75         12936.6               0                1
        8444.86         367.342         7974.98               0               0                1
        3152.08         1027.16         1897.44               0               0                1
        3766.07           744.9          2850.6               0               0                1
