         E0,keV         dE,det1         dE,det2         dE,det3         dE,det4              CF 
        2139.08          1832.9         90.0879               0               0                1
        6493.89         493.362          5888.7               0               0                1
        4180.49               0         3499.02               0               0                1
        3231.48               0          2429.4               0               0                1
        2516.25         1488.97          757.68               0               0                1
        34207.9         99.1065         1647.09         32433.7               0                1
        4603.63         686.105         3783.91               0               0                1
        13052.7         269.289         4056.08         8672.22               0                1
        3667.27         927.811         2527.78               0               0                1
         9631.3         348.859          6532.6         2667.49               0                1
           3857         805.309         2870.45               0               0                1
        4461.94         654.767          3620.7               0               0                1
        3809.47         744.646         2883.25               0               0                1
        2988.06         1086.47         1656.24               0               0                1
        13310.1         268.912         4118.74         8861.06               0                1
        9304.18         399.549         7807.57            1016               0                1
        6406.62         563.624         5702.43               0               0                1
        3627.32         818.025         2607.34               0               0                1
        8720.96         357.122         8245.99               0               0                1
        18477.6         213.794         2930.42         15261.5               0                1
        4552.35         620.798         3791.57               0               0                1
        8235.77         592.673         5481.32               0               0                1
        8083.61               0         7723.47               0               0                1
        3269.58         922.705         2133.33               0               0                1
        3301.37               0         2497.25               0               0                1
        2454.94         1350.08         880.466               0               0                1
        3486.94         977.191          2297.4               0               0                1
        2524.03         1314.87         965.827               0               0                1
         150275               0         1052.65               0               0                0
         3588.5         811.876         2612.42               0               0                1
        11198.6         346.205            5275         5498.28               0                1
        2831.17               0         1935.84               0               0                1
         2201.7         1738.51         181.961               0               0                1
        14386.1               0         20.1376         11843.7               0                1
        6605.07         518.876         5980.29               0               0                1
        7112.16               0         6679.12               0               0                1
        4570.24         700.545         3716.38               0               0                1
        2221.12               0         946.211               0               0                1
        4487.18         627.597         3696.76               0               0                1
        12670.6         286.904         4265.52         8052.89               0                1
        6128.48         535.321         5462.26               0               0                1
        7328.06          439.79         6786.57               0               0                1
        71784.5               0         5403.68         7964.91               0                0
        5374.41         575.484         2829.11               0               0                1
         4754.8         633.705          3965.9               0               0                1
        17276.3         225.399         2978.26         14024.7               0                1
        10335.8               0         5030.71         5016.15               0                1
        8183.04               0         7842.13               0               0                1
        7863.16         435.023         7320.74               0               0                1
        2439.15               0         1353.84               0               0                1
        2696.28               0         1759.05               0               0                1
        3911.63         751.846         2982.41               0               0                1
        5138.21         595.988          4411.9               0               0                1
         6723.4          460.26         6158.19               0               0                1
        1927.26               0         196.917               0               0                1
        11548.7         299.352         4743.22         6401.55               0                1
        33431.7         142.859          1750.7         31510.8               0                1
        14984.7         232.959         3588.73         11085.6               0                1
        3933.67         812.699         2949.56               0               0                1
        7514.96         411.643            6988               0               0                1
        3943.56               0         3247.31               0               0                1
        12963.5         263.954         4025.59         8616.01               0                1
         6273.9         414.687         5745.78               0               0                1
        4947.25               0         4351.77               0               0                1
        2869.21         1132.46         1497.42               0               0                1
        5174.03          603.65         4431.11               0               0                1
        4222.22         698.038         3338.63               0               0                1
         3325.8               0          2553.1               0               0                1
        3785.89         841.395          2739.1               0               0                1
        2361.86          1280.6         825.111               0               0                1
        4896.35         675.706         4071.14               0               0                1
         194955               0         800.799          1229.2               0                0
        2507.78         1216.11         1066.05               0               0                1
        12395.9         322.072         4879.76          7119.4               0                1
        4807.46         629.267          4040.4               0               0                1
        2841.18               0         1897.95               0               0                1
         7427.4          490.97          6849.9               0               0                1
        4727.04         587.136         3987.17               0               0                1
        8288.51         445.166         7746.19               0               0                1
        2413.67          1309.5         849.157               0               0                1
        5438.35         592.443         4697.56               0               0                1
        13253.7         311.103         4254.21         8627.71               0                1
        6336.44         481.172         5734.25               0               0                1
        3019.49         1084.31         1731.91               0               0                1
        14515.1         235.701          3345.8         10865.9               0                1
        7088.89         424.401         6566.14               0               0                1
         7465.8         421.491         6965.21               0               0                1
        2822.57         1056.16         1547.75               0               0                1
        16298.3         277.203         3259.49         12711.7               0                1
         4415.5         766.199         3448.81               0               0                1
        5493.79               0          4972.5               0               0                1
        3905.36         797.422         2948.09               0               0                1
        4867.31         643.026         4075.84               0               0                1
        6376.22         489.127         5779.99               0               0                1
        12683.8               0         4274.57         7909.47               0                1
        7786.71         448.096         7251.89               0               0                1
        6005.27         506.573          5383.8               0               0                1
        5927.41         546.169         5226.96               0               0                1
        7972.97         437.822         7439.25               0               0                1
        2619.23               0         1634.81               0               0                1
        27326.5               0         1974.87         25149.3               0                1
        6091.34         548.622         5415.48               0               0                1
        4680.88         690.412         3855.94               0               0                1
        5802.72          553.78         2763.55               0               0                1
        15972.4         197.686         3306.51         12418.5               0                1
        5224.63               0          4732.8               0               0                1
        4376.46         694.766         3512.37               0               0                1
        6090.06         487.015         5499.76               0               0                1
        10755.5         313.639         888.252         6921.59               0                1
        7544.06         456.662         6988.47               0               0                1
        3705.06         746.953         2777.03               0               0                1
        2874.78         1034.16         1630.38               0               0                1
        5461.27         556.713         4749.95               0               0                1
        12356.4         341.822         5334.67         6616.52               0                1
        6986.61         489.519          6380.2               0               0                1
        4332.52         724.098         3436.48               0               0                1
        6503.06               0         6101.35               0               0                1
        22001.2         133.674         2405.93         19403.8               0                1
        3562.23         899.489         2473.58               0               0                1
        5519.74         579.785         4817.78               0               0                1
        5685.72         569.215          4994.4               0               0                1
        3202.66         859.363         2155.04               0               0                1
        4157.24         747.535         3262.07               0               0                1
        2878.21         1157.67         1506.86               0               0                1
        7121.94         460.112         6557.28               0               0                1
        4045.29         698.343         3188.83               0               0                1
        13226.7               0         4337.65         7042.47               0                1
        17438.1         215.985          2862.8         14310.6               0                1
        5053.36         592.119         4333.98               0               0                1
        12836.6         304.382         3978.73         8492.92               0                1
        5914.35         520.155         5261.23               0               0                1
        2242.41         1384.74         615.739               0               0                1
        5072.44         614.135         4325.31               0               0                1
        10502.6               0         5399.94         4825.44               0                1
        3219.11         899.615         2098.94               0               0                1
         2484.1         1219.36         1036.43               0               0                1
        2621.93         1229.51         1150.07               0               0                1
        6171.93          580.43         5463.17               0               0                1
        3821.98               0         3173.03               0               0                1
        3277.09         883.204         2217.72               0               0                1
        13198.2         252.652         3756.52         9108.87               0                1
        9549.93         392.011         6538.95         2556.42               0                1
         4082.2         731.818         3196.61               0               0                1
        10414.5         359.713         6220.95         3758.73               0                1
        3227.41          1024.1         1947.28               0               0                1
        3960.86         781.543         2988.66               0               0                1
         4443.1               0         3877.87               0               0                1
         4151.8         666.836         3318.26               0               0                1
        4094.27         755.219          3141.1               0               0                1
        3769.02         758.243          2817.3               0               0                1
