         E0,keV         dE,det1         dE,det2         dE,det3         dE,det4              CF 
        9643.78         405.026          6450.3         2707.84               0                1
        3209.37         910.681            2088               0               0                1
        3178.69         963.117         2014.02               0               0                1
        2250.89         1772.74         185.689               0               0                1
         2007.5               0         536.873               0               0                1
        4008.57         748.708         3100.76               0               0                1
        3195.58         876.788         2119.16               0               0                1
        2454.51         1452.34          753.83               0               0                1
        2436.69         1219.98         968.127               0               0                1
        25990.8         143.776         1916.17         23899.4               0                1
        2471.06         1312.37          902.48               0               0                1
        15133.4               0         3346.34         11573.5               0                1
        9154.98         342.724         6218.22         2501.83               0                1
        4404.06          671.39         3588.42               0               0                1
        8374.91          460.19         7807.59               0               0                1
        4320.18          698.44         3481.71               0               0                1
        14217.3               0         3970.52         10020.9               0                1
        3455.82               0         2677.77               0               0                1
        3915.11         808.401         2931.12               0               0                1
        4826.97           614.1         4075.95               0               0                1
        12235.6         268.031         4081.77         7820.44               0                1
         7315.7         416.655         6804.96               0               0                1
        5499.45         572.726         4817.79               0               0                1
        3067.65               0         2163.35               0               0                1
        3267.31         859.113         2226.54               0               0                1
        2788.86         1196.46         1369.78               0               0                1
        5887.16           519.2         5224.86               0               0                1
        13572.3         227.984         3522.97         9756.57               0                1
        6606.59         505.007         5976.31               0               0                1
        15544.5         204.504         3271.28         1599.01               0                1
        4047.77         720.339            3174               0               0                1
        2479.07               0         1391.27               0               0                1
          20351         195.212         2464.17         17642.9               0                1
        2415.52               0         1326.63               0               0                1
        6353.46         550.514         5687.63               0               0                1
        5823.59         557.952         5127.62               0               0                1
        2232.45         1523.18         468.698               0               0                1
        2386.54         1297.54         845.925               0               0                1
        5940.82         525.443         5279.94               0               0                1
        9460.01          340.29          6675.7         2363.68               0                1
        7428.79         464.343         6856.33               0               0                1
        11445.8         236.341          3110.2         7100.15               0                1
        7663.63               0         7269.96               0               0                1
        4023.13         756.409         3091.56               0               0                1
        5583.47         589.479         4880.91               0               0                1
        7207.84         480.217         6614.48               0               0                1
        7898.71         436.793         7345.97               0               0                1
        10231.2         326.535          5406.3         4427.53               0                1
        3827.76         748.465         2890.55               0               0                1
        16638.5         213.096         3385.42         12926.2               0                1
        4668.71         758.664         3746.38               0               0                1
        2367.62         1371.75         731.135               0               0                1
        46927.2          92.455         1130.73           45689               0                1
        4214.32         734.004         3287.95               0               0                1
        2603.38         1259.97         1113.66               0               0                1
        2305.94         1420.23         632.259               0               0                1
        3142.94         916.333         2014.43               0               0                1
        10732.2               0         5072.61          5397.1               0                1
         146459         35.9161         810.921         14817.2         999.547                1
        4859.41         670.099         4007.76               0               0                1
        2897.43         1108.28         1548.17               0               0                1
          90810               0         2279.27         820.559               0                0
        30736.2          132.61         1844.49         28728.2               0                1
        2390.89               0         1263.19               0               0                1
        7550.78         424.451         6981.97               0               0                1
        9900.91         384.896         7546.67         1865.99               0                1
        4511.21         681.223         3682.95               0               0                1
        3466.64          1005.1          2252.3               0               0                1
         6134.5          466.86         5558.61               0               0                1
        5344.47         561.771         4634.55               0               0                1
        8865.89               0         4496.23               0               0                1
        14724.9         234.961         3672.77         10756.6               0                1
        4782.66               0         4238.04               0               0                1
        3587.58         848.221         2543.31               0               0                1
        15668.2         315.676         3610.79         11685.6               0                1
        6946.67          457.26         6351.19               0               0                1
        3604.57          898.74         2492.28               0               0                1
        9165.21         391.404         8418.23         274.838               0                1
         4527.9         683.539         3669.27               0               0                1
        6167.79               0         5714.34               0               0                1
        3952.33               0         3284.69               0               0                1
        3017.51         968.983         1844.66               0               0                1
        2258.63         1848.87         149.138               0               0                1
        5355.32               0         4824.28               0               0                1
        5308.64         582.341         4587.44               0               0                1
        5685.02          557.86          4987.8               0               0                1
        9048.07               0         6979.64         1758.19               0                1
        5528.52         489.869         4907.49               0               0                1
        2335.53         1457.15         634.462               0               0                1
        4188.53         738.008         3279.08               0               0                1
        6069.71         522.943         5414.81               0               0                1
          18820          212.01         2726.45         15821.3               0                1
          86064               0         2193.88         35326.9         2283.81                0
        8120.58         393.604         7644.96               0               0                1
        9211.07          380.84         174.278         4286.64               0                1
        11330.1         344.404         4731.98         6188.53               0                1
           3662          746.32            2753               0               0                1
        6373.12         548.656         5706.09               0               0                1
        5723.13         569.304         5040.53               0               0                1
        2494.97               0         1462.71               0               0                1
        2805.45               0         1824.06               0               0                1
        2931.01         1063.59          1656.2               0               0                1
        7076.97         503.789         6464.52               0               0                1
        2657.71          1106.8         1300.61               0               0                1
        2281.56         1498.79         527.873               0               0                1
        4936.29         701.248          4075.1               0               0                1
        9355.32         390.003         6309.57         2569.95               0                1
         135021               0         706.846               0               0                0
         6356.8          280.71         5743.37               0               0                1
           6896         541.456         6203.34               0               0                1
        3845.44         863.568         2779.92               0               0                1
        6246.47               0         4924.52               0               0                1
        2694.13         1329.78         1089.77               0               0                1
        5908.74         486.359         5317.47               0               0                1
        7301.74               0         6915.56               0               0                1
        28831.8         224.428         1870.38         26700.8               0                1
        6381.16         517.857            5736               0               0                1
        6531.84         479.618         5950.76               0               0                1
        5514.57          524.75         4851.12               0               0                1
        11156.9         308.703         4933.66         5841.15               0                1
        3918.79         771.007         2974.27               0               0                1
        10387.1         313.181         5324.38         4663.28               0                1
        7495.88               0         7128.58               0               0                1
        3007.05               0         2105.59               0               0                1
        3385.06               0          2591.7               0               0                1
        5625.33         544.952         4946.62               0               0                1
         2127.4               0         910.386               0               0                1
        4194.26         820.463         3197.29               0               0                1
        2845.35         1083.36         1563.02               0               0                1
        2809.63         1088.19         1510.83               0               0                1
        4987.12               0         4460.84               0               0                1
        7041.11               0         6639.54               0               0                1
         2736.4          1047.8         1464.36               0               0                1
        29020.9         218.247         1783.54         26851.6               0                1
        2451.33               0         1375.41               0               0                1
        3664.58               0         2936.75               0               0                1
          10124         407.613         5405.46         4225.33               0                1
        6274.81         543.524         5617.96               0               0                1
        6262.04               0         5801.75               0               0                1
        1852.92               0         51.3978               0               0                1
        3188.08         963.765          2022.7               0               0                1
        6307.42         556.065         5616.26               0               0                1
        5912.21         536.532          5242.2               0               0                1
        4231.94               0         3553.99               0               0                1
        2096.61               0         798.385               0               0                1
        4690.46         672.121         3873.09               0               0                1
        19196.8         236.591         3005.63         15901.6               0                1
        4164.25         693.077         3319.03               0               0                1
        3244.77               0         2370.29               0               0                1
        3048.23               0         2158.88               0               0                1
         4701.7         617.774         3916.36               0               0                1
        3488.22         915.874         2375.49               0               0                1
        18209.2               0         2664.36           15371               0                1
        3358.35         836.651         2353.23               0               0                1
        4332.52               0            3607               0               0                1
        2666.47         1101.55            1313               0               0                1
          14621         272.344          3389.9         10886.7               0                1
        5367.36         611.206         4624.05               0               0                1
        31536.4         144.731         1705.66         29654.6               0                1
         111615               0         1517.16          2181.4               0                0
        5129.47         602.617         4379.26               0               0                1
        2411.89         1236.32         937.952               0               0                1
        12158.9         292.257         4179.24         7611.02               0                1
        5547.17         494.458          4916.2               0               0                1
        7685.77         426.917         7152.56               0               0                1
        4055.25         792.219         3077.46               0               0                1
         5559.6         580.547         4824.74               0               0                1
        3700.62         763.982         2766.04               0               0                1
        2526.99         1255.75         1025.71               0               0                1
        70085.2         91.8257         1034.09         16614.4               0                1
        2339.71          1517.8         599.189               0               0                1
        2251.28         1655.11         331.214               0               0                1
        7147.18         465.934         6568.96               0               0                1
        10918.9           397.5         1209.56         6354.85               0                1
        7634.66         407.086         7143.58               0               0                1
        5136.49         538.084         4464.75               0               0                1
        6792.08               0         6336.48               0               0                1
        5137.43         670.622         4329.52               0               0                1
        3265.07         920.436         2110.78               0               0                1
        2317.66         1698.52         353.024               0               0                1
        6854.89         389.461         6366.67               0               0                1
        8179.81         425.262         7658.37               0               0                1
        3207.04         905.074         2097.22               0               0                1
        3549.51               0          2852.7               0               0                1
        4421.91         679.678         3589.65               0               0                1
         5269.4         586.263         4513.43               0               0                1
        5304.48          604.72         4553.19               0               0                1
        4334.59         753.174         3398.67               0               0                1
        5248.47         562.581         4539.42               0               0                1
        8534.88         416.484         5046.66               0               0                1
        2859.49         1114.93         1507.72               0               0                1
        12755.3          256.87         3786.12         8659.08               0                1
        40671.7         116.346         1485.35         39038.2               0                1
        2304.59               0         1162.88               0               0                1
        4617.31         704.352         3751.84               0               0                1
        2442.37         1203.73         1009.94               0               0                1
        5804.67         579.653         5118.77               0               0                1
        2671.55         1236.23         1210.04               0               0                1
        7677.39               0         7288.76               0               0                1
        3490.57               0          2765.3               0               0                1
        5500.53         530.582         4827.44               0               0                1
        8380.23         377.122         7920.66               0               0                1
        9364.06         368.546         7234.07         1677.64               0                1
        10800.8         329.969         5126.71         5267.68               0                1
        9359.61               0          6795.5         2263.26               0                1
        7155.52         462.288         6593.35               0               0                1
        4535.52               0         3946.35               0               0                1
        6721.44         410.409         6221.01               0               0                1
        6564.11         434.276         6020.26               0               0                1
        8202.81               0         7881.82               0               0                1
        5343.11         603.506         4581.19               0               0                1
        4565.11               0          3919.1               0               0                1
        3517.09         795.359         2528.89               0               0                1
        7108.43         470.132         1271.74               0               0                1
        7366.81               0         6955.75               0               0                1
        18765.2         200.039         2743.37         15765.2               0                1
        5101.74         660.329         4276.63               0               0                1
         116908               0         1180.98         24842.9         524.483                0
        2778.58         1028.88         1548.89               0               0                1
        8907.46               0         7093.05         1469.27               0                1
        5402.83               0         4885.72               0               0                1
         2959.7         1027.28         1746.97               0               0                1
        2771.01         1146.69          1408.5               0               0                1
        5565.66               0         5051.88               0               0                1
        12287.5               0          4279.5          7774.6               0                1
        13161.9         305.494         794.217         9601.77               0                1
        3381.23               0         2646.46               0               0                1
        5572.98         501.297         4953.96               0               0                1
        9227.25         398.067          6357.9         2381.37               0                1
         6083.6          457.93         5501.12               0               0                1
        5488.46         592.804         4766.92               0               0                1
        3509.68         747.203         2592.61               0               0                1
         6630.8         457.224         6068.05               0               0                1
        2451.55          1404.6         794.131               0               0                1
        2384.64         1278.77         857.163               0               0                1
         2893.2         947.507         1719.03               0               0                1
        2603.84         1141.83         1230.63               0               0                1
        3833.32               0         3068.92               0               0                1
        3416.65         854.023         2354.46               0               0                1
        2824.98         1041.15         1583.55               0               0                1
        8142.41         425.139         7631.18               0               0                1
        2234.01               0         928.459               0               0                1
        9930.19         291.041         5734.49          3814.2               0                1
        7099.28         420.001         6512.97               0               0                1
        11833.9         298.939         4266.35         7208.55               0                1
        6989.93               0         6614.49               0               0                1
         7577.3         418.485         7035.58               0               0                1
        4890.82               0         4371.03               0               0                1
        3468.45         831.738         2453.15               0               0                1
        5620.04         569.882         4.55361               0               0                1
        6931.73               0         6546.39               0               0                1
        3667.39         879.664         2624.96               0               0                1
         3786.6               0         3070.63               0               0                1
        2749.13         1040.32          1493.4               0               0                1
        3693.43         954.318         2534.98               0               0                1
        4279.15          691.73         3430.57               0               0                1
        4132.12               0         2219.04               0               0                1
        2218.86         1528.52          414.32               0               0                1
        2964.03         1029.07         1720.41               0               0                1
        4299.25         722.596          3393.2               0               0                1
        4905.52               0         4369.64               0               0                1
        5682.52         596.704         4952.64               0               0                1
        3325.25         890.779         2222.93               0               0                1
        5397.22         594.119         4671.77               0               0                1
        2256.08         1290.01         704.431               0               0                1
        5966.85         492.419         5358.71               0               0                1
        4519.55               0         3851.85               0               0                1
        4777.69         617.641         3989.24               0               0                1
        9338.94         379.298         7323.39         1546.19               0                1
        8136.68         437.026         7615.25               0               0                1
        6704.07               0         6314.38               0               0                1
        3908.63         692.359         3032.86               0               0                1
        4856.11         636.799         4069.98               0               0                1
        4671.14         647.144         3866.47               0               0                1
        3250.26               0          2408.4               0               0                1
        4084.67         690.081         3225.56               0               0                1
        5934.48         573.266         5232.09               0               0                1
        4573.98         623.071         3806.31               0               0                1
        8218.48               0          7858.6               0               0                1
        7203.36         398.162         6701.85               0               0                1
        4225.13         650.331         3409.14               0               0                1
        5022.71               0         4484.94               0               0                1
        5714.27               0         5218.64               0               0                1
        2977.04         1008.45         1751.59               0               0                1
         2170.3               0          969.58               0               0                1
        4210.97         692.584         3342.61               0               0                1
        7924.09         423.925         7368.83               0               0                1
        3172.33          929.88         2026.23               0               0                1
        6974.77         455.093         6405.32               0               0                1
        2574.64         1223.36         1118.31               0               0                1
         8728.6         395.208         7003.26         1259.05               0                1
        7712.03           451.6          7175.8               0               0                1
        3621.39         825.512          2612.7               0               0                1
        16011.5         193.409         3294.51         12482.6               0                1
        5636.13               0         5162.88               0               0                1
        13525.5         274.473         3635.48         9552.22               0                1
        9794.02               0         6136.45               0               0                1
        5988.74               0         5518.26               0               0                1
        4745.14         690.449         3877.77               0               0                1
        8108.43         421.536         7566.09               0               0                1
        2204.11               0         976.328               0               0                1
           2485         1242.09         1003.26               0               0                1
           5721         463.883         5134.17               0               0                1
        4793.64         640.479         3996.03               0               0                1
         3219.1         1036.34         1961.71               0               0                1
        2728.82         1145.36         1361.49               0               0                1
        9046.89         390.916         7321.09         1246.77               0                1
        2557.37         1239.74         1056.71               0               0                1
          11720          323.69         5062.74         6238.66               0                1
        6406.65               0         5921.35               0               0                1
        67964.5               0         5726.47               0               0                0
        3802.01         682.421         2953.17               0               0                1
        14835.8         272.703         3360.27         11145.3               0                1
        3992.82         849.343         2962.28               0               0                1
        4887.69          648.65         4112.18               0               0                1
        9399.46          334.38         5940.94         3027.48               0                1
        2920.55         1050.34         1679.53               0               0                1
        15283.9          218.34         3068.61         11939.4               0                1
        7539.29         487.687         6941.34               0               0                1
        4833.43          627.87         4070.25               0               0                1
        2818.58          1036.2         1573.56               0               0                1
        3660.86         806.423         2658.21               0               0                1
        3408.96         913.891         2282.14               0               0                1
        16765.9         237.375         3388.11         13075.3               0                1
        5863.11         541.268         5201.41               0               0                1
        3276.44               0         2485.65               0               0                1
        8249.54         340.514         7791.38               0               0                1
        4924.18         617.725         4143.54               0               0                1
        12753.6         307.343         4313.73         8046.21               0                1
        3345.22         909.284         2238.94               0               0                1
        4848.71         677.412         4006.68               0               0                1
        4438.42         717.837         3559.07               0               0                1
        7070.32         446.957         6520.47               0               0                1
          23745         149.802         2153.14         21377.7               0                1
        11219.5               0          4527.5         6415.59               0                1
        10803.1         288.417         4868.17            5344               0                1
        5600.73               0         5126.12               0               0                1
        6729.14         476.072         6119.85               0               0                1
        5023.29           576.2         4290.58               0               0                1
         3481.4         867.504            2427               0               0                1
        6896.34         479.075         6293.79               0               0                1
           4351         630.681         3555.94               0               0                1
        10895.5         302.839         4691.61         5815.36               0                1
        6727.76         1271.62          1394.8               0               0                1
         1867.9               0         323.138               0               0                1
        4107.72         760.902         3163.34               0               0                1
        6527.14               0         6051.07               0               0                1
        4926.35         617.131          4164.8               0               0                1
        4071.83         754.391         3138.55               0               0                1
        12421.8         280.204         4246.54         7768.79               0                1
        5797.09         620.441         5046.25               0               0                1
        5643.33               0         5129.16               0               0                1
        4313.51         756.883          1063.8               0               0                1
        2481.45         1375.03         854.175               0               0                1
        6665.33         499.454         6055.08               0               0                1
        3300.99          835.57         2260.37               0               0                1
        4052.12         783.337         3091.05               0               0                1
        12411.5               0         4530.57         7652.86               0                1
         6281.8         571.495         5577.29               0               0                1
        18379.2               0         2806.94         15100.9               0                1
        4783.33         638.279         3998.13               0               0                1
        78008.4               0         3557.76               0               0                0
        15707.5          255.51         3250.61         12151.2               0                1
        3640.05               0         2947.84               0               0                1
        2822.22         1119.82         1483.03               0               0                1
        3472.99         849.385         2450.32               0               0                1
        7146.57         404.631         6621.82               0               0                1
        3548.31         817.909         2538.97               0               0                1
        2815.12               0         1856.46               0               0                1
        10071.1          377.51         5589.33         4036.13               0                1
           2765         1196.93         1331.42               0               0                1
        4838.21         650.909          4024.7               0               0                1
        6062.43         493.176         5467.33               0               0                1
        17258.9         284.127         3081.49         13834.5               0                1
        3508.08         924.719         2395.78               0               0                1
        3991.28         750.453         3066.58               0               0                1
        5824.84         521.656         5140.49               0               0                1
        3102.56               0         2254.67               0               0                1
        4355.37         688.919         3513.53               0               0                1
        5425.15         549.319         4746.51               0               0                1
        9691.54         342.455         5825.97         3435.69               0                1
        4177.58         725.845         3277.62               0               0                1
        6444.15               0         5982.32               0               0                1
        2540.28         1305.84         982.403               0               0                1
        2470.97               0         1384.46               0               0                1
