         E0,keV         dE,det1         dE,det2         dE,det3         dE,det4              CF          ang_z  
        113.644         33.6632               0               0               0                1          18.9726
        186.508         25.0797               0               0               0                1          13.3988
        339.423         10.7818               0               0               0                1          21.6696
        185.575         21.6283               0               0               0                1          15.9405
        102.474         88.9844               0               0               0                1          17.1662
        501.277         10.2017               0               0               0                1          34.9432
        117.596         54.7525               0               0               0                1          10.4315
        258.909         17.8703               0               0               0                1          37.6534
        333.598         15.0559               0               0               0                1          13.9624
        193.594         18.0203         34.4693               0               0                1          20.2816
        353.894         15.0036               0               0               0                1          2.93245
        83.8302         72.3668               0               0               0                1          25.3902
        284.722         18.1468               0               0               0                1          23.1638
        111.799         48.7272               0               0               0                1          24.1251
        346.634         17.7588               0               0               0                1          20.1517
        216.546         20.3794               0               0               0                1          39.3145
        225.932         14.7964         204.491               0               0                1          7.05553
        148.992         56.2433               0               0               0                1          14.9602
        315.853         30.4928               0               0               0                1          6.61451
        371.286         15.3537               0               0               0                1          18.3651
         113.76         87.9536               0               0               0                1          7.55157
        181.242         43.5144               0               0               0                1          7.26715
        221.896         35.4202               0               0               0                1          23.4782
        139.163          35.996               0               0               0                1          14.6096
        377.946         142.544               0               0               0                1          26.3681
        167.722         24.3706               0               0               0                1          19.5484
        142.686         26.3057               0               0               0                1          15.3393
         170.33         56.4009               0               0               0                1          4.71637
        122.461         117.745               0               0               0                1          26.2457
        139.912         109.664               0               0               0                1          5.22984
        358.163         16.4278               0               0               0                1          15.8915
        329.295         26.8913               0               0               0                1          17.6856
        633.255         10.8749         358.451               0               0                1          25.2375
        444.946         10.8884         431.656               0               0                1          12.5347
        219.298         18.8002               0               0               0                1           10.028
        184.554         23.8079               0               0               0                1          23.3364
        138.866         26.2087               0               0               0                1          9.15868
        212.935         37.2598               0               0               0                1          16.5857
        376.629         20.0841         10.4159               0               0                1          27.5278
        207.736         35.8802               0               0               0                1          16.7642
        347.154         21.1692               0               0               0                1          20.0376
        267.285         21.7433               0               0               0                1          21.1417
          82.18         70.9495               0               0               0                1          1.90236
        98.4834         85.9295               0               0               0                1          36.6546
        131.009         54.8127               0               0               0                1          17.0362
        439.858         13.6803               0               0               0                1          15.4947
        326.902         42.0699         278.771               0               0                1          14.0953
        564.059         10.9041               0               0               0                1          10.9182
        69.9561         55.1597               0               0               0                1          13.4316
        265.259         28.4508               0               0               0                1           28.717
        119.435         96.8885               0               0               0                1          26.3119
        92.9477         26.2114               0               0               0                1          18.7371
