         E0,keV         dE,det1         dE,det2         dE,det3         dE,det4              CF          ang_z  
        193.594         18.0203         34.4693               0               0                1          20.2816
        225.932         14.7964         204.491               0               0                1          7.05553
        633.255         10.8749         358.451               0               0                1          25.2375
        444.946         10.8884         431.656               0               0                1          12.5347
        376.629         20.0841         10.4159               0               0                1          27.5278
        326.902         42.0699         278.771               0               0                1          14.0953
        337.194         15.0911         42.9655               0               0                1          13.1792
        242.429         19.0899          207.92               0               0                1          11.3574
        199.034         12.8951         146.991               0               0                1          6.60976
        208.267         36.4368         151.223               0               0                1           5.9614
        313.858          12.719         29.2082               0               0                1          15.0843
        541.851         20.9028         204.783               0               0                1          26.4927
        242.744         16.6825         220.825               0               0                1          11.6528
        248.162         10.7091         232.966               0               0                1          19.4768
        154.671         18.5099         27.5323               0               0                1          2.58713
        233.071         10.8744         219.548               0               0                1           19.929
        920.185         14.2498         155.941         744.305               0                1          10.2437
        281.689         15.2829         133.835               0               0                1          16.1639
        1738.41               0         3.00309         60.3506               0                0          158.009
        2478.19               0         231.374               0               0                1          21.2804
        227.347         13.7004         189.337               0               0                1          23.2646
        286.138         30.4659         238.795               0               0                1          13.3038
        192.852         25.8784         161.103               0               0                1          20.6375
        184.317         20.0306         84.2754               0               0                1          30.1728
        128.175         39.5497         79.0054               0               0                1          14.2235
        270.533         10.6491         253.658               0               0                1          12.6311
        543.556         8.20554          429.25         28.5663               0                1          19.4316
        245.002         79.8062         95.9082               0               0                1          13.5902
        281.733         27.8632         225.571               0               0                1          10.4977
        312.127         14.5885         289.852               0               0                1          22.7806
        141.825         26.0497         90.6758               0               0                1          20.0193
        207.392         15.6412         155.754               0               0                1          12.5573
        645.808          14.305         627.481               0               0                1          15.8052
        304.434         11.6896         284.749               0               0                1           3.0308
        364.463         30.3228         140.977               0               0                1          15.5894
        311.813               0         62.1063               0               0                1          29.6945
        309.572         124.777         160.147               0               0                1          13.9667
        1064.53               0         159.741         814.384               0                1          19.0753
        1127.45               0         622.635               0               0                1          13.1623
        253.836         25.5485         211.315               0               0                1          14.7458
        483.488         9.24811         338.123               0               0                1          22.3261
         295.38         11.3013         278.729               0               0                1          10.6732
        142.479         30.0831         89.3411               0               0                1          23.8001
        224.097         47.9526           28.08               0               0                1          9.03969
        183.713         20.4531         152.549               0               0                1          2.69423
        622.752         9.87861         263.801               0               0                1           11.872
        391.712         17.1445         8.44633               0               0                1          28.2994
        233.378         14.8479         199.685               0               0                1          30.7239
        231.312         14.7986         119.255               0               0                1          15.8193
        193.917         16.0255         153.936               0               0                1          19.3187
        415.375         11.1478         382.364               0               0                1          10.8178
        706.152         14.0924         325.665               0               0                1          17.1715
         334.35         22.4216          166.94               0               0                1          22.6506
         391.74         11.5977         235.105               0               0                1          27.6011
        348.804               0         246.198               0               0                1          12.5196
        157.066         33.4468         117.977               0               0                1          19.7396
        498.093         7.62569         242.878               0               0                1          14.1664
        137.011          33.828         95.1001               0               0                1          22.3622
        478.012         13.1728         461.959               0               0                1          14.4277
        124.443         25.4364         86.9791               0               0                1          19.2573
        257.142         14.4176         235.064               0               0                1          23.2882
          165.2               0         14.6059               0               0                1          13.6334
        207.644         11.2356         190.997               0               0                1          26.2162
        522.115          13.904         291.331               0               0                1          27.3242
        258.914         20.3162         18.0466               0               0                1           18.523
         190.77         18.1392         83.3859               0               0                1          14.2578
        186.417         24.1456         133.145               0               0                1          33.4888
        457.695         13.5639         32.9954               0               0                1           18.929
        221.116         17.7278         113.085               0               0                1           24.225
        153.349         25.7467         30.3933               0               0                1          9.60495
        198.866         92.5465         44.8659               0               0                1           21.274
        237.631         61.3256         118.641               0               0                1           28.474
        297.423           12.44         279.737               0               0                1          5.76099
        438.006         21.6785         189.163               0               0                1           4.6786
        395.486         13.6083           54.83               0               0                1          9.18905
        148.189         26.6573         106.676               0               0                1          16.4885
        1022.89         12.3949         146.953               0               0                1          10.1055
        231.679         23.1482         153.758               0               0                1          27.7989
        655.978         7.92851         203.384               0               0                1          12.0984
        541.488         9.17644         528.593               0               0                1           8.7235
        192.897         18.4575         165.378               0               0                1          24.8429
        406.391         18.8989         350.935               0               0                1           1.9674
        213.032         38.6824         74.3809               0               0                1          8.60094
        556.162         11.5425         55.3414               0               0                1          16.3407
