         E0,keV         dE,det1         dE,det2         dE,det3         dE,det4              CF          ang_z  
        706.913          10.497         283.466         410.711               0                1          1.58814
        146.945         45.4797         68.9713               0               0                1          14.4728
        396.632         21.9865         140.542               0               0                1          32.4956
        281.258         25.3494         208.468               0               0                1          49.8984
        362.867         29.5468         320.241               0               0                1          40.3235
        153.868         18.7244         123.279               0               0                1          26.5679
        329.957         12.3094         264.614               0               0                1          57.1032
        385.778         16.0635          366.23               0               0                1          18.7658
        262.223         19.5585         136.332               0               0                1          13.0915
        299.648         13.5011         27.8114               0               0                1          14.4998
        627.276         11.2348         109.481               0               0                1          23.1352
        151.594         40.7687         95.4687               0               0                1          20.5736
        352.325         13.3818         327.406               0               0                1          12.3689
        189.774         17.5105         164.392               0               0                1          19.2126
        306.598         12.8269         276.894               0               0                1          13.3068
        361.506          10.836         182.361               0               0                1          19.7385
        400.555         12.3331         334.816               0               0                1          1.91917
          160.9         30.4606         90.7967               0               0                1          13.8222
        243.612         55.4591          44.556               0               0                1          24.0345
        308.522         20.5502         146.767               0               0                1          8.00211
        725.395         13.6238         381.453               0               0                1          18.4654
        247.597         16.9389          213.76               0               0                1          27.6728
        440.132         27.2391         284.624               0               0                1          28.3756
        347.739         18.7789         279.289               0               0                1          11.4447
         370.78         10.7229         316.687               0               0                1          9.27034
        139.101         29.5987         84.5628               0               0                1          12.9052
        431.367         10.9869         386.523               0               0                1          5.82759
        121.647          33.916         70.2657               0               0                1             21.4
         225.35         15.5562         205.275               0               0                1          18.2437
        390.665          8.1208         370.681               0               0                1          8.41537
         299.83         16.9268         70.9176               0               0                1          45.8641
        385.754         9.52857         371.707               0               0                1           14.985
        191.494         52.5892         82.8275               0               0                1          23.7749
        328.228         17.6453         307.682               0               0                1           10.488
        196.318         29.7856         87.2432               0               0                1          19.9203
          272.6         17.5445         250.497               0               0                1          11.8736
        331.367         42.2715         38.1871               0               0                1            16.04
        175.583         74.8161         65.1643               0               0                1           11.993
        169.576         20.7507         9.51277               0               0                1          21.5924
        412.795         29.2132         318.144               0               0                1          8.40107
        307.244         18.3629         243.156               0               0                1          17.5037
        816.534               0         10.8799               0               0                0          80.0351
        331.389         189.877          24.472               0               0                1           45.722
        207.463               0         7.90273               0               0                1          32.4624
        221.143         21.0979         186.154               0               0                1          16.3216
        147.241         38.4598          40.166               0               0                1          11.2556
        104.666         34.4572         36.3037               0               0                1          25.7884
        185.378          58.138         107.298               0               0                1          27.8925
        169.487         25.4646         104.963               0               0                1          16.2618
        217.084          106.86          40.885               0               0                1          23.6032
        193.605         24.1999         116.665               0               0                1          14.9817
        359.497         9.60691         25.3972               0               0                1          30.2479
        159.208         24.1941         62.2443               0               0                1          14.6039
        307.413         21.0968         131.053               0               0                1           1.7375
        154.003         22.9137         75.3095               0               0                1          21.5015
         218.65         15.2467         144.485               0               0                1           12.862
        328.276         14.5319         308.806               0               0                1          12.3715
        177.931           34.96         97.7004               0               0                1          28.5377
        1647.53         11.1364         362.884         1140.39               0                1          21.7102
        119.026         61.9318         34.9742               0               0                1          14.1235
         309.95         11.6843         291.433               0               0                1          21.9504
        297.231          11.334         84.5527               0               0                1          21.3858
