         E0,keV         dE,det1         dE,det2         dE,det3         dE,det4              CF          ang_z  
         341.03         10.4607               0               0               0                1          18.9951
        220.654         27.4105               0               0               0                1          26.1652
        70.4876         51.0398               0               0               0                1          13.3489
         160.97         40.4454               0               0               0                1           15.494
        145.843         29.5497               0               0               0                1          24.8785
        326.502         45.1903               0               0               0                1          31.7962
        173.941         22.4224               0               0               0                1          18.1473
        86.7262         33.7474               0               0               0                1          12.6006
        237.657         62.8353               0               0               0                1          45.0906
        66.6379         38.5763               0               0               0                1          32.0688
         394.55         9.53534               0               0               0                1          24.9898
        290.908         11.6933               0               0               0                1          18.2599
         255.23         143.271               0               0               0                1          54.1073
        320.752         19.1181               0               0               0                1          23.4996
        185.094         21.6844               0               0               0                1          9.72048
        237.634         17.2709               0               0               0                1         0.518168
        104.951         52.9375               0               0               0                1          22.4835
        211.836         84.2324               0               0               0                1           24.351
        95.0325         88.9149               0               0               0                1          9.89726
        315.994         13.8099               0               0               0                1          12.4439
         307.33         28.4732               0               0               0                1          21.2625
        61.2717         49.2222               0               0               0                1           18.607
        175.765         66.0261         64.3807               0               0                1          5.33482
        204.727         30.4991               0               0               0                1          37.1524
        73.0769         42.4006               0               0               0                1          24.6037
        1374.58         15.9723               0               0               0                1          25.3111
        819.874               0               0         86.8874               0                0           42.045
        68.7202         54.8757               0               0               0                1          21.7426
        167.313         18.7513               0               0               0                1          7.54102
        202.522         21.8552               0               0               0                1          14.8221
        101.086         95.1717               0               0               0                1          13.8327
        110.299         88.2282               0               0               0                1          28.5336
        101.233         55.9648               0               0               0                1           24.706
           1036         6.67505               0               0               0                1          16.0941
         241.95          23.934               0               0               0                1          16.8765
        226.824         15.5674               0               0               0                1          16.9393
        82.1803         67.9829               0               0               0                1          23.7229
        95.1754         56.3028               0               0               0                1          17.3471
        98.4563         84.7605               0               0               0                1          21.9751
         234.99         18.0661         10.4704               0               0                1          12.4992
        100.537         55.3188               0               0               0                1          19.9022
        91.0322         84.9328               0               0               0                1          18.8346
        97.0685          13.279               0               0               0                1          17.2869
        95.9909         84.1735               0               0               0                1          11.4816
        202.999         24.3747               0               0               0                1          10.3714
        198.682         175.941               0               0               0                1          26.9148
         197.89         11.1082               0               0               0                1          26.0282
        290.112         15.4892         25.2105               0               0                1          1.77832
        223.337         27.6842               0               0               0                1          24.1661
        131.959         65.2734          48.321               0               0                1          3.82648
        219.642         63.7877               0               0               0                1          12.1556
        97.5384         48.4646               0               0               0                1          48.1956
        172.774         62.5388               0               0               0                1          26.2481
        145.924         91.5136               0               0               0                1           42.071
        122.443         31.3663               0               0               0                1          7.69356
        73.0208         66.1325               0               0               0                1          17.5121
        236.587          93.403               0               0               0                1          14.2275
        79.2524         54.6159               0               0               0                1          29.3501
        69.7482         56.7357               0               0               0                1          7.17871
        570.314         9.58788               0               0               0                1          12.6436
        212.521         23.4736               0               0               0                1          4.54238
        205.862         17.3376               0               0               0                1          29.7773
        61.5585         52.4863               0               0               0                1          13.6852
        113.942          69.225               0               0               0                1          24.4466
        514.672         12.9301         28.6053               0               0                1          12.0034
         424.64         14.4333               0               0               0                1          23.6928
        174.182         7.45356               0               0               0                1          22.0813
