         E0,keV         dE,det1         dE,det2         dE,det3         dE,det4              CF          ang_z  
        175.765         66.0261         64.3807               0               0                1          5.33482
         234.99         18.0661         10.4704               0               0                1          12.4992
        290.112         15.4892         25.2105               0               0                1          1.77832
        131.959         65.2734          48.321               0               0                1          3.82648
        514.672         12.9301         28.6053               0               0                1          12.0034
        148.519         72.6133         57.3518               0               0                1          12.0916
        249.609          16.751         228.763               0               0                1          7.25194
        250.287         15.9633          191.12               0               0                1          17.4187
         116.02         25.0783         76.4557               0               0                1          1.82717
        398.829         13.0362         380.681               0               0                1          19.9427
        1633.28         7.15588         186.189         317.859               0                1          25.0286
        385.141         14.8475         366.071               0               0                1          8.24438
        491.196         11.4817         80.0843               0               0                1          14.1131
        2623.64         19.0401         177.417               0               0                1          12.9442
        213.328         27.3921          163.97               0               0                1          21.8826
        317.288         12.7705         226.822               0               0                1          23.8091
        198.493         28.4682         83.2931               0               0                1          38.0572
        242.788         11.4489         221.632               0               0                1          20.3765
        525.992         16.3095         506.745               0               0                1          18.1849
        136.339          24.656         105.072               0               0                1          11.3326
        234.989         29.4767         150.374               0               0                1          20.2465
        483.202         9.40457         436.254               0               0                1          26.2724
        273.573         88.2588         112.431               0               0                1          10.5685
         359.94         13.7623         342.305               0               0                1          12.0634
         279.13         18.5678         214.916               0               0                1          17.1672
        273.797          12.564         167.413               0               0                1          4.06832
        208.094         5.31216         13.8603               0               0                1          3.70675
        188.358         25.2659          107.02               0               0                1          25.7588
        161.408         20.7508         97.5984               0               0                1           10.026
        436.941         9.83917          387.81               0               0                1          12.2217
        211.226          14.937         40.3139               0               0                1          20.5326
        238.051         11.1304         208.954               0               0                1          16.9605
        410.365         13.6451         327.494               0               0                1          9.26464
        316.696          12.087         298.902               0               0                1           22.251
        164.142          18.286         139.268               0               0                1          16.2577
        537.657         13.0328         178.771               0               0                1          17.6538
        263.082         27.5816         124.592               0               0                1          19.6426
        442.993         10.1897         349.776         79.3514               0                1          15.9652
        130.693         29.7439         26.8689               0               0                1          13.0575
        369.246         11.2809         92.8359               0               0                1          17.5098
        265.662         13.0438         184.231               0               0                1          14.5119
        328.927         8.71808         277.488               0               0                1          15.9632
        467.985         69.8723         43.3208               0               0                1          5.23849
        136.633         50.2057         46.2907               0               0                1          15.9235
        337.732         18.8838         13.7416               0               0                1          18.8506
        343.225         14.6592         286.345               0               0                1          28.7679
        486.465         9.78803         472.495               0               0                1          4.22374
        376.575         12.8038         360.278               0               0                1          17.7047
        194.397         19.6486         139.452               0               0                1            27.48
        1095.79         5.72722         396.855               0               0                1          9.71099
        476.119               0         195.055               0               0                1          15.5023
        598.697         62.4438         268.785               0               0                1          16.3722
        445.003           8.901         430.255               0               0                1          15.2756
        567.853         14.2101         330.318               0               0                1          3.33099
        498.507         12.1917         405.791               0               0                1          32.3784
        444.392         7.90914         396.583               0               0                1          20.3963
        548.969         12.6581         8.45099               0               0                1          13.1431
         214.16         23.8825         144.132               0               0                1          15.6495
        86.8106         46.0831         2.70004               0               0                1          18.7867
        284.631               0         191.179               0               0                1           15.266
        475.522         13.1078         240.769               0               0                1          20.6308
        1045.72         8.16205         454.039         581.697               0                1          14.8147
        333.674         17.3474         207.599         89.4494               0                1          17.0603
