         E0,keV         dE,det1         dE,det2         dE,det3         dE,det4              CF          ang_z  
        466.107         8.18159         455.511               0               0                1          15.3197
        267.787          19.853               0               0               0                1          5.68093
        306.612         36.8966               0               0               0                1          24.4183
         99.762         94.2576               0               0               0                1          26.0029
        156.722          26.027               0               0               0                1          26.4531
        161.814         14.8781               0               0               0                1          9.92577
        360.978         21.6316               0               0               0                1          27.4624
        197.512         19.7901               0               0               0                1          13.7912
        262.405         19.2654               0               0               0                1          10.8979
        82.4105         43.1828               0               0               0                1          21.1202
        201.678         106.094               0               0               0                1          26.7316
        500.452         36.7255               0               0               0                1          51.1407
        614.703         8.45449         312.035         290.454               0                1          19.1292
        182.409         177.196               0               0               0                1          24.9943
        73.1317         56.6978               0               0               0                1          35.0501
        95.3036         50.3359               0               0               0                1          8.64516
        114.471         51.1642               0               0               0                1          15.0622
        353.862         23.9061               0               0               0                1          34.7969
        261.427          21.373               0               0               0                1          15.8698
        121.206         100.189               0               0               0                1          33.5137
        218.053         18.0694               0               0               0                1          5.21129
        191.966         73.0352               0               0               0                1          19.2583
        158.195         79.9935               0               0               0                1          18.5884
        233.282         16.7655               0               0               0                1          7.94739
        197.462           25.49               0               0               0                1          18.4568
        441.499         11.9296               0               0               0                1          20.5004
        269.732         18.8797               0               0               0                1          11.8895
        122.511         23.1357               0               0               0                1          27.0799
         191.68         47.3449               0               0               0                1          11.4739
        274.711         14.9582               0               0               0                1           14.425
        327.767         8.85377               0               0               0                1          26.1139
          177.7         41.6231               0               0               0                1          62.0522
         336.13         13.3347               0               0               0                1          14.0022
        221.584         95.1885               0               0               0                1          30.2714
         235.07         12.1389               0               0               0                1          13.2075
        80.1889         71.6731               0               0               0                1          19.5891
        99.5676           78.78               0               0               0                1          46.7057
        139.284         45.5111               0               0               0                1          11.6055
        168.209         53.2579               0               0               0                1          12.6597
         162.04         25.5648               0               0               0                1          17.7879
        294.019         14.3854         243.795               0               0                1          11.4418
        70.5664          47.798               0               0               0                1          12.5317
        174.473         35.8167               0               0               0                1          12.3991
        296.409         55.4238               0               0               0                1          19.6097
         139.02         129.835               0               0               0                1          35.0366
        91.6923         83.7864               0               0               0                1          7.72596
        424.413          12.809               0               0               0                1          9.84848
        374.179         19.8307               0               0               0                1          8.42622
        149.439         24.7447               0               0               0                1           23.651
        278.679         16.4751         229.358               0               0                1          14.5906
        437.924         32.1979         170.801               0               0                1           17.242
        112.304         26.9164               0               0               0                1          15.2009
        105.457         35.6857               0               0               0                1          23.1381
        200.696         43.8179               0               0               0                1          44.0406
         109.42         73.1822               0               0               0                1          28.8038
        88.8858         79.3259               0               0               0                1          27.2279
        118.787         34.6192               0               0               0                1          30.4749
        448.273         12.2647               0               0               0                1          25.1655
        222.813         40.3436               0               0               0                1          36.9505
        156.978            17.5               0               0               0                1          22.3472
        92.2746         75.0053               0               0               0                1          19.3001
        324.054         15.9164               0               0               0                1          16.4081
