         E0,keV         dE,det1         dE,det2         dE,det3         dE,det4              CF          ang_z  
        466.107         8.18159         455.511               0               0                1          15.3197
        614.703         8.45449         312.035         290.454               0                1          19.1292
        294.019         14.3854         243.795               0               0                1          11.4418
        278.679         16.4751         229.358               0               0                1          14.5906
        437.924         32.1979         170.801               0               0                1           17.242
        205.835         17.9345         141.168               0               0                1           9.6559
        1002.59               0         674.137               0               0                1          13.0097
        198.735         11.9418         149.846               0               0                1          23.6011
        245.328         20.2351         127.474               0               0                1          36.0693
        173.164         39.0532         111.706               0               0                1          3.13309
        226.431         20.0565         199.844               0               0                1          20.8149
        109.977          62.043         27.7171               0               0                1          10.1313
        388.716         12.2716         248.689               0               0                1          19.4319
        465.118          11.025         416.633               0               0                1          14.8452
        200.229         20.2181         168.405               0               0                1          21.2247
        254.654         12.3512         105.727               0               0                1          23.7462
        564.191         41.4458         141.538               0               0                1          8.13913
        160.613         16.0692         122.171               0               0                1          24.4874
        332.025         25.2528         197.128               0               0                1          24.8753
        172.644          18.072         75.6155               0               0                1          19.6307
        286.453          20.711         259.646               0               0                1          10.6186
        347.839         11.6151         273.663               0               0                1          3.05232
         106.99         36.7881         49.7904               0               0                1          17.7125
        253.707         23.9145         225.253               0               0                1          12.4993
        259.927         21.6571         135.935               0               0                1          24.7893
        370.948          11.224         326.526               0               0                1          16.2912
         121.15         73.3267         32.8582               0               0                1          23.9957
        203.916         30.8655         148.175               0               0                1          17.1979
         273.75         27.5308         213.355               0               0                1           17.064
        260.359          11.535         201.124               0               0                1          10.1035
        255.064          23.282         227.174               0               0                1           14.377
        396.485         12.2505         378.506               0               0                1           18.037
        211.723         15.1503         189.564               0               0                1          11.6347
        465.928         11.4843         449.345               0               0                1          15.6915
        369.676         14.3039         347.285               0               0                1          19.7642
        382.293         11.6976         228.625               0               0                1          22.5244
        304.148         17.1664         279.342               0               0                1          16.7437
        250.604         49.4444         98.9358               0               0                1          29.1548
        373.056         16.0705         181.553               0               0                1          21.9761
        240.732         13.5594         159.709               0               0                1          20.9947
         197.48         24.0449         162.967               0               0                1          17.4092
         610.36         8.39648         508.863               0               0                1          21.6861
        253.918         22.9428         143.315               0               0                1           19.139
        225.788         24.7261         175.817               0               0                1          19.9822
        166.703         14.4644         39.6943               0               0                1          9.84912
         807.95               0         506.426               0               0                1          17.6612
        1085.14         5.41087         291.334               0               0                1          19.7482
        199.482         19.2358         171.198               0               0                1          15.8145
        446.464         14.2964          206.31               0               0                1          21.4018
        747.909         10.3218         313.252         335.512               0                1          2.79274
        175.036         21.0818         145.529               0               0                1          12.5755
        121.484         49.4165         8.38479               0               0                1          29.6129
        182.392         18.2548         143.589               0               0                1          12.0495
        336.263         9.28175         281.117               0               0                1          17.9548
        242.185         27.4365         94.1543               0               0                1          16.2345
        201.347         39.2115         137.235               0               0                1          21.5287
        437.863         14.1218         420.887               0               0                1          1.95023
        413.474         10.8332         150.566               0               0                1          19.6809
        180.642         20.7601         116.581               0               0                1           11.237
         684.93         9.25855         149.203               0               0                1          12.4839
        220.556         14.7924         145.305               0               0                1          4.81644
        400.366         8.04158         367.718               0               0                1          24.8384
         188.76         21.1941         26.4673               0               0                1          21.8854
        485.174         19.9235         461.876               0               0                1          11.5783
        120.697         86.1561         22.2913               0               0                1           6.6104
        280.835         17.6803         250.667               0               0                1          8.03183
        359.129         17.9249         9.94443               0               0                1          37.1027
        151.701         18.8068         94.4904               0               0                1           26.107
         185.07         22.9553         112.745               0               0                1          26.1189
        421.048         11.7565         367.242               0               0                1           9.8251
        163.701         24.1827         119.889               0               0                1           5.8364
        341.876         12.6374         110.224               0               0                1           4.5556
        137.934         23.2592         99.7047               0               0                1           23.224
        1123.14         18.8114         325.018               0               0                1          15.7267
        250.235         123.151         67.9534               0               0                1           20.892
         152.17         83.1737         2.76421               0               0                1          24.6342
        171.817         18.3465         132.652               0               0                1          15.4321
         415.23         12.9244         123.783               0               0                1          15.4332
