         E0,keV         dE,det1         dE,det2         dE,det3         dE,det4              CF          ang_z  
         134758               0         5872.15               0               0                0          31.6897
         122921               0         43.5871         38790.3               0                0          131.267
        45424.9         76.2217          1303.1         31367.7               0                1          12.8084
        38899.6         88.4499          1512.1         37265.9               0                1          12.1071
         353605               0          516.75         54.3962               0                0          81.9053
         120940               0         6166.63               0               0                0          74.4035
        11124.7               0            6559         2045.44               0                1          6.66406
         214536               0         1577.11               0               0                0           138.17
         129265               0         1575.39               0               0                0          121.758
         247242               0         1148.04               0               0                0          99.8421
         381835               0         183.483               0               0                0          52.0673
         143181               0         1075.84               0               0                0          68.9222
         152843               0          1187.5               0               0                0          119.588
         211793               0         239.652               0               0                0           148.66
         137371               0         1582.84               0               0                0          42.1139
          26169               0         197.152               0               0                0          72.7771
         180962               0         1975.84               0               0                0          84.9542
         341196               0         270.745         11646.4          819.78                0           13.947
         323745               0         778.948         2868.42               0                0          52.1886
         266185               0         1326.44               0               0                0          95.1311
         236126          39.516         26.8851               0               0                0          89.2569
         117943               0         598.579               0               0                0          137.923
         231699         14.8805         397.074          2309.4         1053.52                1           13.663
         338475               0         384.231          175.45               0                0          41.8579
         226761               0         502.647               0               0                0          22.4245
         338273               0         887.336               0               0                0          108.256
         232085               0         876.229               0               0                0          65.0102
        47791.9               0         1280.05         40601.7               0                1          9.33308
         195796               0         784.319         74.1494               0                0          42.5268
         265766               0         390.784               0               0                0          36.9567
         144163               0         1341.33         13764.8               0                0          35.7581
        3415.94         721.115         2443.76               0               0                1           9.8595
         160188               0          2170.2               0               0                0          79.9139
         143344               0         1001.84               0               0                0          120.053
         152567               0         919.764               0               0                0          52.0691
         125628               0         4725.42               0               0                0          76.6267
         256145               0         398.886         13692.3         797.886                1           7.4448
         203237               0         757.383               0         2250.09                0           48.053
         212935               0         622.684         15251.1               0                0          151.133
         354376               0         6.61268               0               0                0          39.5638
         123776               0         4302.24               0               0                0          54.6015
         142695           206.9         2466.97         48087.4         1724.59                1          157.699
         151712               0         892.976               0               0                0          103.133
        23359.1               0          12.927               0               0                0          110.984
         141102               0          2766.3               0               0                0          75.1955
         196434               0         92.0266               0               0                0          39.3325
         131194               0         1303.65               0               0                0          143.321
         112352               0         17945.8               0               0                0          82.9228
         156327               0         22.4122               0               0                0          135.831
         468607               0         436.371               0               0                0          119.082
         434114               0          283.38               0               0                0          61.9239
         148952               0         261.171         3645.01               0                0          38.7389
         141312               0         7893.45               0               0                0          82.2851
         294011               0         393.666         4374.08         583.106                0          159.973
         105385               0         91.5368               0               0                0          100.388
        5663.73         468.265         1350.44               0               0                1          15.8315
         139612               0         1057.95               0               0                0          142.893
         175054               0         939.094               0               0                0          129.121
         127604               0         1082.46               0               0                0          125.275
         100890               0         3233.95               0               0                0          120.497
         464896               0         141.808               0               0                0          119.289
        17369.5         181.693         2668.62           14467               0                1          8.18939
        6224.32         436.697         5613.19               0               0                1          3.18292
         145068               0         2042.22               0               0                0          71.7271
         513900               0         158.204               0               0                0          135.932
         213658               0         629.022               0               0                0          133.004
         166071               0         964.154               0               0                0          121.285
         175226               0         855.025               0               0                0          41.5201
         115872               0         6536.82               0               0                0          71.2832
         319063               0         537.558               0               0                0          122.917
         167868               0         453.512               0               0                0          103.624
         163496               0         1291.36         23993.1               0                0          27.7389
         225396               0         586.942               0               0                0          119.013
         154028               0         2567.17               0               0                0          74.1425
         235121               0         83.8416               0               0                0          73.2034
         380572               0         383.603               0               0                0           43.734
         237384               0         18.9609               0               0                0          35.5353
         612367               0         248.612         1023.83               0                0          28.4703
         187068               0         1165.79         7616.03               0                0          40.9328
         258128               0         443.008         5614.79               0                0          147.546
         111498               0         1354.17               0               0                0          109.022
          24739               0         2022.22               0               0                1          15.6012
         183389               0          4688.1               0               0                0          80.5728
         114182               0         23603.7               0               0                0          90.6352
         466445               0         39.5072         2893.63               0                0          42.0365
         226917               0         537.344         840.329               0                0          28.8564
         118772               0         663.813               0               0                0          118.506
         133289               0         1147.07               0               0                0          124.851
         221097               0         539.288         5332.57               0                0          144.087
        12282.7         257.342         4320.87         7592.44               0                1          7.46296
         131701               0         1089.57         11.4542               0                0           68.302
         450728               0         626.737               0               0                0          66.6326
         428351               0         653.981               0               0                0          114.952
         328758               0          3847.9               0               0                0          122.084
         139736               0         1964.69               0               0                0          121.838
         136805               0         2139.84               0               0                0          106.431
         127970               0         1911.34         9757.35               0                0          43.8049
         285065               0         583.819          8671.1         347.126                0          30.0642
         169009               0         1494.24               0               0                0          60.4653
         157407               0         1077.27               0               0                0          36.1823
         174305               0         206.018               0               0                0          146.998
         116459               0         2169.34               0               0                0          115.164
         152978               0         2321.18         22565.1               0                0           62.873
        15025.2         185.473         3308.14               0               0                1          13.4956
         156758               0         254.157               0               0                0           111.01
         180159               0         719.955         10461.9               0                0          137.429
         252930               0         455.885           10902               0                0          146.444
         265425               0         367.681         7686.85               0                0           136.93
         213198               0         553.025         41.2504               0                0          42.4184
         389467               0         384.632         2432.27               0                0          54.9171
         262352               0         457.799               0               0                0           140.39
         468286               0         341.857         2731.25               0                0          139.598
         216663               0          696.56               0               0                0          130.181
         571791               0          246.56         10623.1         493.019                0          164.599
         196731               0         718.475         13088.2         983.888                0          158.383
