         E0,keV         dE,det1         dE,det2         dE,det3         dE,det4              CF          ang_z  
         160.01         52.9944         90.5756               0               0                1          9.40329
        275.143          23.316         101.878               0               0                1          15.6569
        352.016         18.2279         214.718               0               0                1          10.2522
        690.728         9.00272         186.308               0               0                1          19.1744
        159.041         15.8976         129.952               0               0                1          19.1165
        875.921         10.5517         269.577         370.586               0                1          20.8722
        377.219         9.03559         363.109               0               0                1          17.0527
        1931.36         4.77562         194.589         1408.83               0                1          7.40429
        390.643         16.2137         62.4744               0               0                1          16.5251
        349.967         34.4995         272.382               0               0                1          19.2253
        993.494          12.736         429.277               0               0                1          9.59121
        196.462         16.7856         158.383               0               0                1          9.56398
         1199.4         7.63185         144.325         175.362               0                1          6.77713
        781.067         9.08418         243.524               0               0                1          2.71885
        152.116         54.0765         87.2761               0               0                1          5.16293
        276.691         15.0688         247.831               0               0                1          9.14986
        319.732         15.4748          237.68               0               0                1          20.4467
        202.462         14.4826          176.39               0               0                1          24.8041
        217.914         19.0412         34.2342               0               0                1          23.5486
         227.66         51.7758         76.5899               0               0                1          21.0831
        130.067         29.4739         59.2094               0               0                1          59.0944
        145.796         52.3614         19.6811               0               0                1          27.9166
        144.926         49.9769         87.8231               0               0                1          17.7696
        216.901         16.4513         181.598               0               0                1          20.4201
        117.744          39.313          61.986               0               0                1          26.4367
        338.646         18.1131         315.899               0               0                1          9.02623
        779.119          8.2785         336.357               0               0                1          29.6454
        192.952         20.5129         164.926               0               0                1          10.3391
        190.522         18.4652         84.7578               0               0                1          10.1077
        316.248          13.358         298.783               0               0                1          8.11792
        219.104         20.7565         177.114               0               0                1          11.6778
        322.279         21.4602         113.173               0               0                1          33.7948
        177.972         99.5714         35.2024               0               0                1          26.9775
        608.308         11.8189         592.148               0               0                1          26.4834
        119.962         34.6348         76.5234               0               0                1          10.8014
        122.739         75.5653         22.5974               0               0                1            13.05
        1245.19         5.85697         157.686         1079.91               0                1           4.0231
        564.412         18.5368         482.846               0               0                1          26.6338
        283.937         24.9529         171.603               0               0                1          43.3553
         593.06         9.84063         269.822         283.471               0                1          4.69249
        164.851         22.5013         91.0327               0               0                1          11.1851
        749.046         19.6244         190.825         233.801               0                1          17.2429
        438.426         12.1994         349.009               0               0                1          14.2354
        159.333         18.4894         134.253               0               0                1          7.50391
        170.178         26.5883         134.359               0               0                1          21.9629
        372.691         11.9725          347.26               0               0                1          18.3709
        251.295         19.7276         191.081               0               0                1          23.3618
        186.356         16.2318         87.9748               0               0                1          35.3992
         421.46         20.2534          361.06               0               0                1          17.8713
        663.732         32.6552         628.266               0               0                1          18.9704
        152.545         12.7578         131.631               0               0                1          17.9333
        992.935         5.79508         204.481         436.172               0                1          4.78252
        99.4989         43.8725          45.659               0               0                1          16.7827
        182.488         29.8012          99.026               0               0                1          18.3849
        432.887         9.96854         353.086               0               0                1          13.2522
        282.815         29.6549         152.971               0               0                1          16.6453
        292.202         12.1466         15.0648               0               0                1          12.4852
        685.589               0         300.131               0               0                1          11.8427
        142.094         28.2222         96.6466               0               0                1          20.4213
        230.755         12.6532         212.629               0               0                1          10.9831
        218.349         16.9416         161.364               0               0                1          31.9944
        1124.34         11.8051         176.665         792.917               0                1          19.7156
        259.308         17.9357         204.036               0               0                1          18.9789
        238.243         11.6614         183.515               0               0                1          4.09155
        661.874         17.7613          248.97         289.863               0                1          9.26184
        185.395         26.2797         96.6626               0               0                1          44.7874
        2146.43         6.53248         198.605         1781.66               0                1          7.21445
        578.223         12.2181         120.101               0               0                1          22.3756
        171.906         33.5304         119.781               0               0                1          11.6726
        187.918         24.8518         109.788               0               0                1          6.70914
        1327.41         15.5733         404.278               0               0                1          15.8582
        146.884         24.3027         28.4782               0               0                1          25.1337
        557.528         10.2879         177.221         364.838               0                1          7.81471
         328.56         42.4354         245.457               0               0                1          22.0983
        635.015         9.73368         585.469               0               0                1          23.1221
        368.785         9.15584         314.261               0               0                1          26.0008
        2504.81               0         162.884               0               0                1          19.5158
        216.453         12.5679         194.498               0               0                1          13.7218
        135.316         19.0603         101.475               0               0                1          17.4639
        474.545         11.0918         281.887               0               0                1          17.4226
        3010.51               0         236.697               0               0                0          134.162
        1693.37               0         261.342         151.772               0                1          12.2005
        257.478         15.5315         229.852               0               0                1          9.44801
        110.713         52.6256         43.4804               0               0                1          16.2571
          967.1         7.37427         205.775         545.182               0                1            12.48
