         E0,keV         dE,det1         dE,det2         dE,det3         dE,det4              CF          ang_z  
        212.089         59.5979               0               0               0                1           11.287
        63.9903         48.6458               0               0               0                1          12.7765
        304.544          16.082               0               0               0                1          1.81283
        122.654          96.641               0               0               0                1          35.4874
        272.394         18.0586         194.095               0               0                1          32.8952
        94.4893         66.4305               0               0               0                1          8.31104
        446.403         7.23813               0               0               0                1          1.52179
          128.7         51.9371               0               0               0                1          10.1168
        198.327         27.5926               0               0               0                1          10.9175
         205.12         31.0383               0               0               0                1          12.4422
        160.314         34.0308               0               0               0                1          22.9193
        307.833         43.8432               0               0               0                1          37.7138
         115.46         38.3447               0               0               0                1           17.253
        330.223         11.7685               0               0               0                1          3.92282
        133.637         83.9413               0               0               0                1          3.38577
        132.926          53.258               0               0               0                1          11.1989
        234.402         17.0348               0               0               0                1          6.36589
        146.075         49.8076               0               0               0                1          25.1003
        324.781         44.7103               0               0               0                1          20.6978
        191.495         21.4335               0               0               0                1          24.1625
        173.554         25.9859               0               0               0                1          9.42624
        102.841         13.1311               0               0               0                1            19.23
        191.355         46.2258               0               0               0                1          25.9923
          218.1         24.2056               0               0               0                1          19.8067
        138.088         71.5828               0               0               0                1          13.2767
        68.1661         53.5474               0               0               0                1          31.2519
        156.648         102.583               0               0               0                1         0.493638
        624.175         76.6345               0               0               0                1          54.5789
         421.18          25.298               0               0               0                1          34.0526
        296.624         62.1132               0               0               0                1          11.1396
        263.389         45.9588               0               0               0                1          20.0263
        458.098         21.8803               0               0               0                1          42.1058
        171.575         33.6054               0               0               0                1           34.271
        710.856         7.68823         227.612               0               0                1          10.1223
        130.612          97.476               0               0               0                1          23.2235
        67.0852         37.8272               0               0               0                1          24.2696
        217.822         23.5197               0               0               0                1          19.7469
        188.095         16.7789               0               0               0                1          27.2435
        215.137         19.9871         153.697               0               0                1          19.7902
        231.198         26.0562               0               0               0                1           8.0503
        137.487         26.8684               0               0               0                1          17.5244
        369.937         17.2011               0               0               0                1          22.4382
        442.112         11.6398               0               0               0                1           18.499
        130.152         16.9753               0               0               0                1          14.8199
        94.9159          19.363               0               0               0                1          17.0347
        223.807         38.0229               0               0               0                1          33.7737
        229.087         83.4479               0               0               0                1          23.6583
        358.948         19.1774               0               0               0                1          21.0024
        247.385         19.2957               0               0               0                1          14.8985
         134.83         125.263               0               0               0                1          33.7853
        125.046         27.3806               0               0               0                1          22.9196
        101.005         92.5115               0               0               0                1          23.1412
        441.937         123.838               0               0               0                1          15.1765
        260.581         22.9092               0               0               0                1          42.5368
        275.943          21.609               0               0               0                1          25.2341
         452.46         11.8621               0               0               0                1          13.1049
        119.021          42.351               0               0               0                1          5.97927
        1769.43               0               0         238.848               0                0          38.8404
        113.487         28.4117               0               0               0                1          16.3843
        247.506         15.8707               0               0               0                1          13.4356
        211.018         41.6676               0               0               0                1          11.0738
        228.606         24.4623               0               0               0                1          20.5331
        93.4856         87.1379               0               0               0                1            18.62
        102.332         39.9733               0               0               0                1          17.3678
        104.482         97.7299               0               0               0                1          15.1961
        72.9574          24.884               0               0               0                1          19.4013
        91.5413          73.284               0               0               0                1          2.67392
        328.625         10.1611               0               0               0                1          34.9139
        85.7241         44.1594               0               0               0                1          21.6041
