          R,cm          dS,cm2   optphot_cher   optphot_scint  optphot_to_cm2_cher  optphot_to_cm2_scint  
              0         3.14158               0               0                0                0  
              1         9.42465               0               0                0                0  
              2         15.7074               0               0                0                0  
              3         21.9897               0               0                0                0  
              4         28.2713               0               0                0                0  
              5         34.5519               0               0                0                0  
              6         40.8315               0               0                0                0  
              7         47.1097               0               0                0                0  
              8         53.3865               0               0                0                0  
              9         59.6615               0               0                0                0  
             10         65.9347               0               0                0                0  
             11         72.2057               0               0                0                0  
             12         78.4744               0               0                0                0  
             13         84.7407               0               0                0                0  
             14         91.0042               0               0                0                0  
             15         97.2648               0               0                0                0  
             16         103.522               0               0                0                0  
             17         109.777               0               0                0                0  
             18         116.027               0               0                0                0  
             19         122.274               0               0                0                0  
             20         128.517               0               0                0                0  
             21         134.756               0               0                0                0  
             22         140.991               0               0                0                0  
             23         147.221               0               0                0                0  
             24         153.447               0               0                0                0  
             25         159.667               0               0                0                0  
             26         165.883               0               0                0                0  
             27         172.093               0               0                0                0  
             28         178.298               0               0                0                0  
             29         184.497               0               0                0                0  
             30          190.69               0               0                0                0  
             31         196.877               0               0                0                0  
             32         203.058               0               0                0                0  
             33         209.232               0               0                0                0  
             34           215.4               0               0                0                0  
             35          221.56               0               0                0                0  
             36         227.714               0               0                0                0  
             37          233.86               0               0                0                0  
             38         239.999               0               0                0                0  
             39         246.131               0               0                0                0  
             40         252.254               0               0                0                0  
             41         258.369               0               0                0                0  
             42         264.476               0               0                0                0  
             43         270.575               0               0                0                0  
             44         276.665               0               0                0                0  
             45         282.746               0               0                0                0  
             46         288.819               0               0                0                0  
             47         294.881               0               0                0                0  
             48         300.935               0               0                0                0  
             49         306.979               0               0                0                0  
             50         313.013               0               0                0                0  
             51         319.037               0               0                0                0  
             52         325.051               0               0                0                0  
             53         331.055               0               0                0                0  
             54         337.048               0               0                0                0  
             55          343.03               0               0                0                0  
             56         349.001               0               0                0                0  
             57         354.962               0               0                0                0  
             58          360.91               0               0                0                0  
             59         366.848               0               0                0                0  
             60         372.773               0               0                0                0  
             61         378.687               0               0                0                0  
             62         384.589               0               0                0                0  
             63         390.478               0               0                0                0  
             64         396.355               0               0                0                0  
             65         402.219               0               0                0                0  
             66         408.071               0               0                0                0  
             67         413.909               0               0                0                0  
             68         419.734               0               0                0                0  
             69         425.546               0               0                0                0  
             70         431.344               0               0                0                0  
             71         437.128               0               0                0                0  
             72         442.899               0               0                0                0  
             73         448.655               0               0                0                0  
             74         454.397               0               0                0                0  
             75         460.125               0               0                0                0  
             76         465.838               0               0                0                0  
             77         471.536               0               0                0                0  
             78         477.218               0               0                0                0  
             79         482.886               0               0                0                0  
             80         488.538               0               0                0                0  
             81         494.175               0               0                0                0  
             82         499.796               0               0                0                0  
             83         505.401               0               0                0                0  
             84          510.99               0               0                0                0  
             85         516.562               0               0                0                0  
             86         522.118               0               0                0                0  
             87         527.657               0               0                0                0  
             88          533.18               0               0                0                0  
             89         538.685               0               0                0                0  
             90         544.174               0               0                0                0  
             91         549.644               0               0                0                0  
             92         555.098               0               0                0                0  
             93         560.533               0               0                0                0  
             94         565.951               0               0                0                0  
             95         571.351               0               0                0                0  
             96         576.732               0               0                0                0  
             97         582.095               0               0                0                0  
             98          587.44               0               0                0                0  
             99         592.766               0               0                0                0  
