#class tools::wcsv::ntuple
#title initspec
#separator 44
#vector_separator 59
#column double E0,keV
#column double N
100,245
200,361
300,142
400,79
500,41
600,37
700,14
800,17
900,11
1000,13
1100,0
1200,3
1300,5
1400,3
1500,5
1600,4
1700,2
1800,1
1900,1
2000,3
2100,5
2200,3
2300,0
2400,0
2500,0
2600,2
2700,1
2800,0
2900,0
3000,0
3100,0
3200,0
3300,0
3400,1
3500,0
3600,0
3700,0
3800,0
3900,0
4000,1
4100,0
4200,0
4300,0
4400,0
4500,0
4600,0
4700,0
4800,0
4900,0
5000,0
5100,0
5200,0
5300,0
5400,0
5500,0
5600,0
5700,0
5800,0
5900,0
6000,0
6100,0
6200,0
6300,0
6400,0
6500,0
6600,0
6700,0
6800,0
6900,0
7000,0
7100,0
7200,0
7300,0
7400,0
7500,0
7600,0
7700,0
7800,0
7900,0
8000,0
8100,0
8200,0
8300,0
8400,0
8500,0
8600,0
8700,0
8800,0
8900,0
9000,0
9100,0
9200,0
9300,0
9400,0
9500,0
9600,0
9700,0
9800,0
9900,0
10000,0
